Year,Country,Quality of Life Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
2019.06,Czech Republic,23,160.37,71.19,74.01,74.47,45.7,14.44,29.74,40.09,77.13
2014.01,Romania,50,63.27,36.51,71.27,47.27,48.2,13.24,33.29,62.55,
2020.06,Czech Republic,25,154.7,59.28,74.6,75.18,45.05,16.43,29.71,39.46,77.13
2014.01,Russia,64,16.53,37.3,47.33,43.45,61.8,14.67,49.69,76.45,
2021.06,Czech Republic,21,157.49,54.8,74.48,75.39,48.2,13.71,29.58,36.31,77.13
2014.01,Saudi Arabia,19,139.88,100.03,70.62,50.42,68.14,3.25,23.33,71.54,
2022.06,Czech Republic,21,163.78,69.94,74.22,75.45,44.33,14.93,29.37,35.32,78.32
2014.01,Serbia,48,69.31,37.39,60.72,54.35,51.57,16.86,24.38,49.56,
2014.01,Singapore,38,87.99,64.11,78.65,61.82,100.01,22.59,47.82,41.93,
2014.01,Slovakia,31,108.74,52.41,67.28,63.52,61.5,9.51,37.5,40.81,
2014.06,Denmark,8,165.6,91.59,72.85,82.58,115.09,5.94,28.82,37.61,
2014.01,Slovenia,22,125.56,60.36,66.79,61.31,75.37,11.09,20.67,32.97,
2015.06,Denmark,2,254.74,164.26,74.97,82.44,88.31,5.18,25.61,31.15,
2014.01,South Africa,30,111.61,95.97,21.47,59.44,48.55,3.45,41.31,57.93,
2016.06,Denmark,1,201.53,135.24,76.46,78.21,84.38,6.33,28.03,26.84,66.05
2014.01,South Korea,28,117.9,80.63,83.65,79.17,87.56,11.35,31.2,74.24,
2017.06,Denmark,1,180.14,98.67,78.5,76.17,93.27,7.26,28.6,24.25,82.01
2014.01,Spain,25,123.64,72.48,67.58,75.17,77.18,10.45,32.03,49.76,
2018.06,Denmark,1,199.95,118.75,77.29,79.85,82.65,7.09,30.17,22.48,81.87
2014.01,Sweden,4,180.92,106.11,61.72,75.22,103.68,9.41,34.07,17.51,
2019.06,Denmark,1,196.47,110.69,75.28,79.22,83.88,7.52,29.6,20.79,82.29
2014.01,Switzerland,1,206.23,138.05,68.21,67.95,143.88,7.05,24.55,26.8,
2020.06,Denmark,1,192.53,101.27,73.91,80.17,85.02,6.96,28.93,21.52,81.8
2014.01,Taiwan,29,114.06,82.31,78.53,78.33,60.2,17.33,27.6,70.81,
2021.06,Denmark,2,186.25,86.43,73.78,79.79,88.53,7,28.69,21.29,81.8
2014.01,Thailand,52,56.64,36.96,62.44,85.44,45.95,19.07,32.82,71.13,
2022.06,Denmark,2,194.15,99.76,73.66,79.77,73.09,6.3,28.41,20.92,81.8
2014.01,Turkey,49,67.82,55.79,60.05,57.54,49.93,6.86,51.93,77.11,
2014.01,Ukraine,61,22.22,31,50.63,47.1,45.64,15.95,41.89,73.32,
2014.01,United Arab Emirates,9,173.27,110.64,79.21,60.65,68.25,5.26,28.2,53.84,
2014.06,Ecuador,60,37.46,25.83,41.74,63.14,45.56,13.89,45.67,56.53,
2014.01,United Kingdom,15,150.97,94.34,57.38,73.52,100.11,7.74,37.68,33.81,
2019.06,Ecuador,44,128.06,40.84,51.09,70.81,41.99,12.01,38.18,56.57,92.59
2014.01,United States,2,195.55,132.91,49.85,68.58,77.39,2.43,37.13,35.13,
2020.06,Ecuador,48,123.09,32.7,47.34,69.51,40.62,12.44,37.11,56.86,94.51
2014.01,Uruguay,34,91.94,39.64,53.36,59.58,77.36,11.6,45,21.33,
2021.06,Ecuador,53,116.27,27.1,44.77,68.21,38.79,13.32,39.28,58.36,94.51
2014.01,Venezuela,68,-39.32,17.87,18.5,41.05,114.36,20.19,38.75,73.96,
2022.06,Ecuador,53,120.34,33.55,42.13,68.89,35.73,11.8,37.88,58.34,94.51
2015.01,Argentina,52,77.01,59.38,37.6,75.18,67.12,11.59,41.39,55.88,
2015.01,Armenia,60,49.07,27.74,70.86,48.33,40.68,13.39,26.09,73.03,
2015.01,Australia,8,180.81,110.39,57.84,71.85,99.32,7.13,36.25,21.63,
2014.06,Egypt,71,0.93,24.68,45.1,58.29,36.22,10.8,60.67,92.55,
2015.01,Austria,7,182.62,104.55,73.75,78.42,76.87,9.6,25.86,33.96,
2015.06,Egypt,56,11.32,40.81,40.83,51.74,35.32,10.95,55.48,94.28,
2015.01,Bahrain,47,84.06,59.69,60.03,84.44,56.17,7.89,27,87.36,
2016.06,Egypt,54,88.35,37.14,43.54,46.61,32.62,10.79,51.02,92.84,75.59
2015.01,Bangladesh,82,-5.36,33.43,35.75,43.25,39.22,10.9,58,93.59,
2017.06,Egypt,56,78.51,23.24,46.67,42.95,25.39,11.67,47.6,89.05,85.84
2015.01,Belarus,54,72.48,35.82,69.5,45.39,50.2,16.36,30.57,45.12,
2018.06,Egypt,66,84.59,25.32,47.64,44.17,24.67,13.26,47.1,87.61,91.98
2015.01,Belgium,23,135.95,86.16,57.96,77.86,87.22,6.49,26.69,53.84,
2019.06,Egypt,73,85.42,23.27,51.47,44.76,29.09,13.6,48.28,86.31,91.98
2015.01,Bolivia,78,6.55,41.1,34.4,49.75,40.02,10.33,55,94.05,
2020.06,Egypt,74,86.78,21.09,53.35,46.29,29.55,13.42,49.34,84.69,91.98
2015.01,Bosnia And Herzegovina,53,73.45,44.74,54.18,52.08,42.3,12.5,21.9,58.54,
2021.06,Egypt,76,87.21,18.54,53.17,46.61,29.14,12.73,48.99,83.92,91.98
2015.01,Brazil,70,29.84,41.16,31.05,52.15,55.33,16.7,46.34,58.03,
2022.06,Egypt,78,91.19,21.72,53.39,47.41,26.27,11.07,48.29,83.37,90.8
2015.01,Bulgaria,55,68.3,39.88,56.55,58.47,43.57,9.42,33.43,63.96,
2015.01,Cambodia,81,-4.4,11.93,55.94,54.17,57.05,21.11,33.33,80.06,
2014.06,Estonia,20,137.26,47.78,70.91,71.73,67.61,10.7,24.71,17.27,
2015.01,Canada,9,177.63,105.07,62.54,69.6,81.8,5.52,38.88,27.3,
2016.06,Estonia,18,171.71,72.33,74.07,71.31,50.52,11,22.33,19.19,44.56
2015.01,Chile,56,65.48,55.11,54.99,58.55,53.21,10.84,40.83,72.4,
2015.01,China,76,15.99,48.64,58.25,58.74,48.89,26.42,37.48,89.36,
2018.06,Estonia,14,180.68,77.37,79.67,72.47,51.61,9.15,29.65,18.05,66.24
2015.01,Colombia,61,47.71,36.08,43.12,68.92,38.92,14.35,44.55,61.41,
2019.06,Estonia,12,178.27,76.75,77.83,68.49,50.99,9.07,25.49,19.88,64.28
2015.01,Croatia,33,112.34,50.47,70.66,57.26,58.92,12.48,30.5,32.76,
2020.06,Estonia,10,175.99,66.08,76.44,72.52,52.93,8.83,24.59,19.02,64.28
2015.01,Cyprus,17,154.91,71.05,68.44,78.36,72.52,7.38,19,32.88,
2021.06,Estonia,12,171.16,56.58,76.29,72.68,53.77,9.37,24.44,19.72,64.28
2015.01,Czech Republic,27,127.53,68.07,67.11,67.24,48.5,10.59,31.47,42.87,
2022.06,Estonia,12,173.83,60.41,75.86,73.87,49.47,10.06,23.97,18.36,64.28
2015.01,Denmark,6,190.18,105.7,74.29,79.28,100.6,5.02,27.85,31.79,
2015.01,Dominican Republic,65,43.6,28.2,32.28,78.7,55.95,11.45,27.5,65.32,
2014.06,Finland,4,182.64,96.56,70.78,69,101.95,7.17,31.5,16.04,
2015.01,Ecuador,64,44.52,28,45.96,63.08,45.57,14.67,45.67,53.2,
2015.06,Finland,4,242.66,149.42,73.43,75.19,76.89,6.78,36.14,17.44,
2015.01,Egypt,83,-7.07,25.84,39.86,54.69,37.22,11.33,56.85,96.62,
2016.06,Finland,9,183.98,123.42,73.5,74.8,74.39,7.99,33.77,14.57,34.8
2015.01,Estonia,21,144.59,51.44,71.87,73.08,61.2,11.65,22.44,15.53,
2017.06,Finland,2,179.4,101.93,76.81,74.61,81.23,7.61,33.87,12.65,58.78
2015.01,Finland,5,190.25,101.17,70.45,69.37,89.68,7.01,33.17,14.91,
2018.06,Finland,2,197.32,120,77.36,74.97,72.73,7.4,32.92,12.19,59.73
2015.01,France,22,139.31,92.62,50.29,82.58,88.37,9.7,28.6,45.94,
2019.06,Finland,3,195.06,108.78,77.25,75.27,72.18,7.88,30.62,11.57,62.79
2015.01,Georgia,57,64.96,26.21,77.99,62.59,39.56,15.17,38,58.79,
2020.06,Finland,3,186.4,93.94,74.47,75.96,72.71,8.69,29.41,11.79,59.21
2015.01,Germany,2,195.94,111.84,71.51,75.61,76.27,6.61,31.08,28.32,
2021.06,Finland,4,178.95,80.11,72.41,76.19,76.35,8.57,28.91,11.99,56.64
2015.01,Greece,40,94.66,51.89,58.65,56.73,68.88,9.67,33.18,44.87,
2022.06,Finland,5,186.84,91,73.16,76.75,63.75,7.54,27.58,12.02,56.64
2015.01,Hong Kong,49,82.96,74.93,80.76,80.6,75.23,30.09,46.25,59.5,
2015.01,Hungary,41,93.07,46.85,58.24,51.58,48.9,8.58,30.12,46.25,
2015.01,India,51,78.6,65.79,53.45,66.86,26.27,10.06,45.24,77.72,
2014.06,France,22,127.02,86.87,52.05,81.58,101.95,10.31,30.31,48.51,
2015.01,Indonesia,73,22.7,26.01,52.78,66.09,39.35,18.93,41.63,74.41,
2015.06,France,19,183.46,132.55,52.4,80.99,75.85,9.11,30.51,45.24,
2015.01,Iran,80,1.07,30.65,49.1,50.12,44.53,20.78,47.44,82.28,
2016.06,France,17,172.3,105.38,56.61,80.6,76.89,11.38,33.58,42.04,82.34
2015.01,Ireland,19,148.85,95.72,50.93,49.53,92.09,6.07,32.6,27.97,
2017.06,France,19,154.43,89.37,55.22,78.4,81.16,9.28,34.83,41,89.93
2015.01,Israel,30,120.43,88.18,69.6,76.35,79.29,10.72,41.25,65.21,
2018.06,France,23,164.33,99.72,54.04,78.71,74.83,11.51,35.24,41.04,89.75
2015.01,Italy,38,100.99,79.35,52.5,65.78,82.72,11.69,35.91,57.75,
2019.06,France,27,156.1,87.7,53.55,78.34,74.62,13.67,34.55,42.91,89.76
2015.01,Japan,13,168.28,98.21,79.76,87.07,80.36,9.24,51.05,38.22,
2020.06,France,26,150.68,76.21,52.63,80.68,76.34,14.07,35.04,43.64,89.78
2015.01,Jordan,67,38.61,38.67,54.49,69.71,61.38,8.58,51.4,85.64,
2021.06,France,26,153.6,76.36,48.01,80.56,77.59,10.04,34.79,42.17,90.41
2015.01,Kazakhstan,63,47,43.48,53.32,58.86,54.27,12.73,41.8,73.69,
2022.06,France,29,152.74,79.61,45.61,79.96,65.55,11.85,34.67,42.21,89.97
2015.01,Kenya,77,7.32,28.74,27.39,62.7,50.01,16.75,65.2,62.2,
2014.06,Georgia,53,65.02,23.99,80.61,76.85,42.96,15.6,38,64.05,
2015.01,Kuwait,29,123.39,85.7,56.49,66.57,92.97,6.12,25,59.63,
2015.01,Latvia,39,99.04,44.39,62.78,67.13,55.94,12.19,24,43.43,
2019.06,Georgia,52,118.42,30.23,79.82,51.73,27.78,13.59,36.55,71.55,84.2
2015.01,Lebanon,69,32.81,50.17,48.02,65.78,67.61,16.21,32.43,89.11,
2020.06,Georgia,52,116.37,24.77,79.5,52.16,29.71,14.48,35.4,70.6,84.2
2015.01,Lithuania,32,112.85,46.86,63.31,70.11,52.76,12.87,31.33,29.6,
2021.06,Georgia,52,116.62,25.16,76.62,54.43,28.58,14.35,35.4,70.02,84.2
2015.01,Malaysia,45,85.32,73.54,30.03,69.14,45.97,8.35,39.4,64.73,
2022.06,Georgia,55,119.15,25.13,74.75,54.49,34.85,12.26,35.59,69.05,88.53
2015.01,Mexico,46,84.97,59.51,46.16,67.79,41.26,6.26,36.89,68.83,
2015.01,Moldova,66,42.13,23.7,50.3,52.69,34.72,17.07,24.6,57.24,
2015.01,Mongolia,85,-35.74,23.5,29.75,28.29,52.28,18.63,36.86,94.55,
2014.06,Germany,3,186.61,105.8,70.87,76.66,86.82,6.13,31.44,30.33,
2015.01,Netherlands,14,166.76,102.02,64.59,67.23,85.98,6.22,35.45,34.97,
2015.06,Germany,3,244.31,160.12,69.36,76.37,65.96,7.07,28.92,29.22,
2015.01,New Zealand,10,175.51,90.99,60.24,72.61,93.71,5.78,28.1,17.61,
2016.06,Germany,5,189.87,136.14,67.3,76.02,66.79,7.23,31.21,27.68,52.01
2015.01,Nigeria,79,2.99,40.23,23.4,38.4,59.4,10.74,58.67,76.29,
2017.06,Germany,3,178.92,107.9,67.36,75.99,73.18,7.82,30.66,27.18,82.75
2015.01,North Macedonia,71,28.85,35.48,63.94,35.12,37.41,15.38,33.17,82.31,
2018.06,Germany,7,189.13,123.27,63.84,74.88,67.89,8.48,30.99,28.15,82.42
2015.01,Norway,11,175.09,96.3,68.81,75.46,118.59,7.74,25.3,23.7,
2019.06,Germany,8,184.3,111.99,65.4,73.58,66.57,9.42,30.39,28.42,82.8
2015.01,Pakistan,74,21.82,33.21,38.84,51.16,30.71,14.32,25.14,83.73,
2020.06,Germany,9,177.25,97.41,64.86,73.35,66.34,9.35,31.4,29.28,83.15
2015.01,Panama,44,89.27,43.34,49.92,82.14,55.16,10.79,28.12,50.91,
2021.06,Germany,8,175.24,89.86,64.21,73.49,67.85,8.88,31.22,27.81,82.82
2015.01,Philippines,68,36.95,35.41,56.89,71.66,40,18.52,45.5,74.17,
2022.06,Germany,8,178.32,102.75,62.99,72.45,59.62,10.6,31.14,28.14,82.92
2015.01,Poland,36,109.74,63.49,67.01,58.03,45.11,10.56,34.67,50.55,
2015.01,Portugal,26,129.16,58.22,64.16,65.62,58.22,8.32,28.2,32.61,
2015.01,Puerto Rico,28,125.69,94.43,32.94,58.74,73.5,4.54,32,48.03,
2014.06,Greece,42,83.03,44.56,58.99,57.84,80.79,10.87,33.21,45.18,
2015.01,Qatar,20,144.89,113.02,78.96,75.86,74,6.56,29.27,87.73,
2015.06,Greece,32,130.32,83.15,60.56,55.96,58.92,8.26,30.6,47.62,
2015.01,Romania,48,83.63,40.62,70.28,46.57,42.39,11.81,30.69,50.55,
2016.06,Greece,27,156.8,67.32,60.6,55.01,55.64,7.9,29.62,49.1,88.28
2015.01,Russia,72,28.38,38.86,48.67,51.8,61.91,14.6,47.08,72.77,
2017.06,Greece,34,131.1,49.65,60.59,54.64,61.29,8.54,31.05,52.36,90.97
2015.01,Saudi Arabia,12,169.37,126.19,65.43,59.02,50.35,3.12,26.14,71.02,
2018.06,Greece,39,137.46,53.18,61.17,55.49,57.64,9.68,33.63,52.4,91.8
2015.01,Serbia,58,60.34,39.15,56.57,54.12,43.29,17.07,27.79,56.6,
2019.06,Greece,41,135.61,48.46,60.71,55.48,56.72,9.96,33.36,52.48,92.93
2015.01,Singapore,34,111.29,75.4,82.41,66.14,93.61,21.41,44.07,40.4,
2020.06,Greece,41,131.51,40.75,58.7,56.64,57.5,10.7,33.71,52.33,94.18
2015.01,Slovakia,37,109.09,56.05,66.66,57.34,51.6,8.58,30.4,47.94,
2021.06,Greece,42,127.96,35.95,54.15,57.09,58.38,9.61,33.95,52.1,92.49
2015.01,Slovenia,25,134.49,64.16,71.29,53.93,65.15,10.61,18.82,31.45,
2022.06,Greece,46,127.08,38.39,52.03,57.24,50.23,12.08,33.68,51.79,93.83
2015.01,South Africa,35,110.92,101.78,21.56,60.09,45.58,3.14,42.98,65.19,
2015.01,South Korea,31,120.03,85.83,82.01,78.15,82.9,11.01,31.33,77.11,
2014.06,Hong Kong,44,77.52,68.02,81.18,80.4,75.86,29.39,42.33,61.47,
2015.01,Spain,24,134.91,76.71,66.15,73.21,65.7,9.56,28.91,46.3,
2015.06,Hong Kong,41,104.85,111.81,78.14,75.52,75.03,31.49,45.67,67.49,
2015.01,Sri Lanka,59,49.87,28.24,50.04,74.29,41.66,14.29,30.83,65.72,
2016.06,Hong Kong,48,104.02,91.79,79.69,75.3,78.2,34.95,43.94,67.53,29.85
2015.01,Sweden,3,193.86,110.95,57.91,76.29,82.91,9.25,26.9,15.14,
2017.06,Hong Kong,47,99.17,74.04,79.93,65.2,79.24,38.61,41.33,68.46,72.83
2015.01,Switzerland,1,222.94,146.51,73.23,66.31,126.03,7.28,25.63,24.07,
2018.06,Hong Kong,57,104.48,76.49,78.03,66.84,74.73,46.89,40.27,67.87,83.64
2015.01,Taiwan,43,92.5,69.9,78.12,84.29,57.06,24.97,28.25,67.65,
2019.06,Hong Kong,68,99.58,66.79,81.9,66.93,79.21,49.38,41.09,67.34,83.64
2015.01,Thailand,62,47.37,38.75,62.94,82.47,46.52,20.76,42.36,72.81,
2020.06,Hong Kong,65,103.19,67.02,79.09,66.35,77.9,43.52,42.41,67.6,83.64
2015.01,Turkey,50,82.55,53.63,63.6,74,49.55,6.7,46.32,74.31,
2021.06,Hong Kong,72,96.1,56.86,78,66.37,80.82,45.71,42.72,67.38,83.64
2015.01,Turkmenistan,15,157.09,59.75,82.14,77.22,38.12,12.96,11.75,28.45,
2022.06,Hong Kong,68,103.85,66.93,78.38,66.16,76.55,42.59,42.86,67.16,83.64
2015.01,Ukraine,75,20.1,27.87,50.64,44.27,41.29,17.38,40.04,69.85,
2015.01,United Arab Emirates,18,153.68,104.59,77.78,55.6,67.16,6.16,29.9,61.34,
2015.01,United Kingdom,16,156.9,98.12,57.99,73.88,92.19,8.63,34,33.95,
2014.06,Hungary,41,85.23,41.86,59.65,49.74,56.91,9.59,30.09,45.63,
2015.01,United States,4,192.49,126.09,49.99,67.75,76.53,2.62,35.96,31.45,
2015.06,Hungary,37,113.65,66.35,56.7,50.02,41.75,7.98,30.42,45.7,
2015.01,Uruguay,42,93.06,44.87,52.83,67.92,68.55,11.23,45,31.72,
2016.06,Hungary,37,140.01,50.74,59.24,52.46,42.27,10.77,31.09,45.46,68.38
2015.01,Venezuela,86,-53.04,11.9,15.93,38.52,111.01,22.23,30.6,79.19,
2017.06,Hungary,36,125.82,41.48,61.84,52.29,47.19,12.36,33.45,45.22,78.22
2015.01,Vietnam,84,-19.52,21.32,47.71,34.26,41.86,23.92,36.4,84.34,
2018.06,Hungary,41,134.55,56.73,64.11,47.83,41.34,13.04,35.32,46.33,79.19
2016.01,Argentina,36,138.48,74.92,36.72,73.73,64.09,12.22,42.36,58.46,91.7
2019.06,Hungary,42,133.06,53.78,64.59,47.62,41.7,12.49,35.83,47.57,79.48
2016.01,Australia,5,198.79,147.25,56.88,73.71,78.45,8.43,34.65,22.88,77.33
2020.06,Hungary,43,128.4,46.3,64.77,48.05,40.09,13.82,35.91,48.66,79.48
2016.01,Austria,6,192.4,120.46,75.94,77.78,66.59,9.52,26.79,30.77,63.76
2021.06,Hungary,38,134.54,47.41,65.64,52.85,42.26,10.64,35.87,48.12,79.48
2016.01,Belgium,25,162.29,106.69,54.81,78.06,75.44,6.58,36.19,56.61,76.97
2022.06,Hungary,39,136.22,53.24,66.09,54.27,34.64,13.22,35.61,47.75,79.48
2018.06,Iceland,11,181.84,93.21,76.36,63.91,112.64,6.63,27.37,15.55,68.26
2016.01,Bosnia And Herzegovina,31,146.7,60.64,57.54,60.52,34.59,10.94,23.41,57.95,75.31
2019.06,Iceland,5,188.12,92.03,76.85,65.66,97.22,6.41,19.49,15.65,68.81
2016.01,Brazil,45,101.02,48.69,28.77,51.09,38.88,17.95,46.12,61.18,72.6
2020.06,Iceland,7,180.74,74.78,76.3,65.61,90.19,6.63,20.1,16.2,68.81
2016.01,Bulgaria,34,141.61,59.19,58.58,50.93,36.36,8.8,28.66,60.35,77.8
2021.06,Iceland,6,177.64,67.3,76.25,65.85,99.67,6.11,19.9,15.97,68.81
2016.01,Canada,15,177.23,134.81,60.8,68.62,64.82,6.14,37.79,29.48,46.23
2022.06,Iceland,6,184.48,82.62,75.7,66.61,86.59,6.8,19.96,15.83,68.81
2016.01,Chile,30,147.26,78.4,58,61.05,43.88,9.88,33.81,67.21,85.68
2016.01,China,46,99.03,77.42,67.92,61.2,48.1,24.98,44.09,85.54,46.59
2016.01,Colombia,41,128.46,45.99,51.49,73.22,29.25,16.29,44.24,64.44,84.51
2014.06,India,48,72.6,59.26,54.74,63.97,27.72,10.39,46.67,75.04,
2016.01,Croatia,19,172.39,67.89,70.49,59.96,48.2,11.88,30.03,30.42,85.64
2015.06,India,36,115.15,99.29,53.18,66.34,24.85,8.89,45.1,76.9,
2016.01,Czech Republic,22,167.38,89.99,67.94,72.35,41.8,10.33,32.48,42.49,63.48
2016.06,India,47,106.28,83.16,55.19,68.42,24.02,10.75,45.07,76.65,14.49
2016.01,Denmark,2,206.49,142.14,74.33,81.89,84.88,5.85,25.64,29.93,70.65
2017.06,India,43,110.39,67.15,55.51,67.5,27.48,9.88,46.61,76.63,55.6
2016.01,Egypt,50,88.79,40.3,43.47,46.58,36.71,10.76,50.85,96.05,79.72
2018.06,India,49,121.61,77.67,56.85,68.04,23.81,10.83,47.57,75.17,66.04
2016.01,Finland,11,184.01,132.93,71.88,74.36,75.25,7.73,32.89,17.84,32.56
2019.06,India,54,115.41,61.73,57.62,68.21,25.14,11.31,46.21,75.55,65.77
2016.01,France,18,173.56,118.51,55.94,82.25,75.3,11.93,31.98,46.31,78.3
2020.06,India,59,105.86,50.55,55.58,66.21,24.12,11.34,46.83,79.56,64.74
2016.01,Germany,4,199.7,147.61,67.05,75.85,65.54,7.13,29.07,29.91,63.02
2021.06,India,65,103,42.16,55.57,65.83,24.6,10.78,46.61,79.89,65.47
2016.01,Greece,24,165.43,79.27,61.54,59.17,54.4,7.38,29.09,47.22,87.14
2022.06,India,48,124.38,76.44,55.43,65.59,23.89,7.44,46.4,73.04,64.73
2016.01,Hong Kong,44,108.33,102.32,79.15,74.3,81.48,37.57,46.4,67.17,39.9
2016.01,Hungary,35,140.74,56.3,58.07,52.07,41.29,9.81,31.78,46.7,66.89
2016.01,India,43,109.28,89.65,53.41,66.47,24.14,10.54,45.98,77.02,19.66
2014.06,Indonesia,68,17.97,23.06,51.6,64.45,40.41,20.24,40.03,72.45,
2016.01,Indonesia,53,72.19,35.51,53.03,62.56,36.33,19.48,41.4,75.14,7.98
2015.06,Indonesia,53,31.78,37.47,53.9,63.7,35.88,20.28,40.58,74.93,
2016.01,Iran,47,96.93,47.73,47.63,49.83,41.12,14.78,48.15,84.21,74.61
2016.06,Indonesia,57,66.39,33.75,50.49,65.43,38.41,18.6,47.27,76.25,4.45
2016.01,Ireland,20,171.92,125.66,51.61,50.38,78.03,8.51,32.31,30.85,73.07
2017.06,Indonesia,45,103.85,32.63,56.23,68.16,42.32,13.01,41.73,58.02,49.3
2016.01,Israel,23,166.63,115.54,69.37,76.07,75.75,10.64,37.76,61.46,81.89
2018.06,Indonesia,55,107.81,34.97,54.37,63,36.16,13.84,44.77,62.27,68.39
2016.01,Italy,26,159.28,105.67,53.78,67.76,68.77,10.37,36.49,56.56,86.19
2019.06,Indonesia,66,101.9,31.01,53.74,61.9,36.86,15.05,43.46,64.39,63.76
2016.01,Japan,16,176.06,117.55,80.66,80.42,81.25,20.17,48.35,34.04,79.64
2020.06,Indonesia,73,91.63,22.19,53.94,60.51,36.86,21.27,43.37,66.9,68.48
2016.01,Lithuania,40,134.33,61.25,56.85,67.38,45.56,12.9,30.24,30.94,24.42
2021.06,Indonesia,74,90.15,19.01,54.07,60.52,35.95,21.52,43.28,67.15,68.48
2016.01,Malaysia,56,63.8,96.34,31.45,66.45,37.47,9.07,39.77,67.53,-71.17
2022.06,Indonesia,75,96.85,25.52,53.94,60.48,32.2,17.81,43.38,67.17,68.96
2016.01,Mexico,39,137.01,76.51,49.2,68.13,35.01,6.21,37.06,64.64,58.78
2016.01,Netherlands,7,192.4,129.34,68.53,70.43,72.12,5.87,35.51,32.79,76.28
2016.01,New Zealand,3,201.06,115.47,63.63,72.6,78.17,6.28,31.1,19.04,88.35
2014.06,Iran,74,-11.72,27.42,48.91,50,47.74,21.49,54.45,86.08,
2016.01,North Macedonia,42,115.03,46.74,61.98,59.99,31.05,15.52,40.68,85.29,80.55
2015.06,Iran,54,25.39,48.78,48.83,48.02,43.06,17.1,45.52,83.46,
2016.01,Norway,8,188.9,125.75,69.89,74.23,99.8,7.36,29.48,18.21,56.33
2016.06,Iran,49,96.99,46.7,48.12,50.13,38.21,13.56,49.17,83.65,71.48
2016.01,Pakistan,48,93.99,43.34,43.37,61.27,26.69,15.27,36.85,76.64,41.17
2017.06,Iran,54,85.03,39.29,50.16,51.78,38.19,12.9,50.17,80.79,69.01
2016.01,Philippines,54,65.83,42.86,62.39,72.25,34.73,19.24,45.97,73.12,-26.98
2018.06,Iran,64,91.99,44.26,50.61,51.96,30.86,13.24,50.76,80.63,70.99
2016.01,Poland,29,153.61,80.77,68.59,60.01,38.53,10.95,34.51,49.87,64.33
2019.06,Iran,75,75.22,25.95,50.97,51.86,41.39,24.88,48.02,78.03,70.99
2016.01,Portugal,13,181.18,75.47,64.87,69.03,49.83,8.43,30.56,31.85,91.7
2020.06,Iran,79,70.32,21.88,51.09,52.23,38.47,29.83,47.44,76.69,70.99
2016.01,Romania,32,146.13,61.9,70.28,51.43,34.8,10.56,33.29,50.5,66.96
2021.06,Iran,82,63.6,16.82,50.62,52.33,40.64,34.87,47.25,75.7,70.99
2016.01,Russia,51,88.31,57.42,52.69,54.15,38.48,12.84,49.13,64.49,10.87
2022.06,Iran,84,69.38,18.03,50.25,52.31,36.49,28.62,46.72,75.22,65.69
2016.01,Saudi Arabia,27,159.18,167.86,74.8,65.09,47.6,2.78,38.7,72.2,16.77
2016.01,Serbia,37,138.26,49.62,56.72,55.88,33.56,16.59,28.37,55.14,83.89
2016.01,Singapore,49,93.09,110.5,84.19,69.06,83.67,23.17,43.43,38.83,-66.63
2014.06,Ireland,18,140.13,89.55,48.26,46.73,105.62,6.1,26.61,27.36,
2016.01,Slovenia,17,175.93,89.76,73.73,58.47,52.19,9.72,25,28.2,62.46
2015.06,Ireland,18,188.99,137.6,51.36,49.75,79.71,8.13,31.82,28.88,
2016.01,South Africa,28,156.7,126.1,21.57,59.58,34.75,3.34,43.18,63.29,91.42
2016.06,Ireland,19,170.83,115.49,53.62,53.4,78.69,7.7,35.58,27.47,72
2016.01,South Korea,21,170.29,120.64,85.69,78.97,73.18,14.87,30.93,49.65,51.35
2017.06,Ireland,21,152.11,87.26,55.24,53.12,84.88,7.13,37,28.31,89.49
2016.01,Spain,9,186.41,105.31,68.23,75.89,56.11,8.06,30.52,46.58,90.8
2018.06,Ireland,26,161.29,95.4,56.05,48.19,77.08,8.09,35.73,30.41,89.29
2016.01,Sweden,10,185.81,128.22,56.88,74.33,75.7,11.19,32.05,18.3,61.8
2019.06,Ireland,25,158.34,90.8,53.82,51.44,76.33,7.09,36.53,33.02,88.59
2016.01,Switzerland,1,208.54,178.74,74.27,68.88,123.1,8.57,28.73,23.02,70.5
2020.06,Ireland,27,150.16,74.58,54.32,52.27,78.07,7.75,38.07,34.29,89.13
2016.01,Thailand,55,63.83,40.06,57.44,80.8,40.02,24.38,43.09,71.51,-23.25
2021.06,Ireland,28,150.54,71.58,54.49,52.82,78.55,6.69,38.1,33.86,89.13
2016.01,Turkey,38,137.31,64.12,60.57,73.03,45.07,8.07,48.05,65.75,74.22
2022.06,Ireland,31,151.73,75.2,54.13,52.03,66.73,6.97,37.91,35,89.13
2016.01,Ukraine,52,85.56,29.66,51.38,49.69,28.56,26.16,39.95,67.84,50.4
2016.01,United Arab Emirates,33,144.09,136.43,76.92,58.2,66.09,5.43,33.69,59.54,5.91
2016.01,United Kingdom,14,180.25,120,56.87,74.03,81.03,9.28,35.53,35.02,81.6
2014.06,Israel,33,104.75,76.71,68.68,77.35,91.55,11.57,41.42,64.99,
2016.01,United States,12,183.96,139.17,51.13,67.76,74.08,3.37,33.35,34.94,67.57
2015.06,Israel,21,169.39,133.59,67.93,76.25,77.57,9.57,37.63,64.81,
