Country,Year,Merchandise exports (current US$)
Post-demographic dividend,1972,310889578613.624
Post-demographic dividend,1971,261222078896.891
Post-demographic dividend,1970,234362047856.833
Post-demographic dividend,1969,201718705771.882
Post-demographic dividend,1968,175325584247.374
Post-demographic dividend,1967,155787543337.546
Post-demographic dividend,1966,146861021522.962
Post-demographic dividend,1965,133043589218.195
Post-demographic dividend,1964,121753942509.955
Post-demographic dividend,1963,107624640327.398
Post-demographic dividend,1962,98782021094.4088
Post-demographic dividend,1961,94111870219.0477
Post-demographic dividend,1960,88795474880.3612
Pre-demographic dividend,2022,412489016680.558
Pre-demographic dividend,2021,317049721914.548
Pre-demographic dividend,2020,217850016817.561
Pre-demographic dividend,2019,293748068396.035
Pre-demographic dividend,2018,314439002141.683
Pre-demographic dividend,2017,245332174583.414
Pre-demographic dividend,2016,193618004967.663
Pre-demographic dividend,2015,232594774199.078
Pre-demographic dividend,2014,363806808528.741
Pre-demographic dividend,2013,364149091986.358
Pre-demographic dividend,2012,388281088421.304
Pre-demographic dividend,2011,383234939103.833
Pre-demographic dividend,2010,280533699051.528
Pre-demographic dividend,2009,218107474954.498
Pre-demographic dividend,2008,307873843396.918
Pre-demographic dividend,2007,227047351770.6
Pre-demographic dividend,2006,183596593439.328
Pre-demographic dividend,2005,151044221412.415
Pre-demographic dividend,2004,112628472996.148
Pre-demographic dividend,2003,75384387184.7997
Pre-demographic dividend,2002,65339617363.6338
Pre-demographic dividend,2001,61341154845.5895
Pre-demographic dividend,2000,72172856119.7748
Pre-demographic dividend,1999,53166992995.7579
Pre-demographic dividend,1998,40066660505.6609
Pre-demographic dividend,1997,46610243669.0561
Pre-demographic dividend,1996,43701534360.0837
Pre-demographic dividend,1995,36628266319.0449
Pre-demographic dividend,1994,28908843494.1884
Pre-demographic dividend,1993,29968213249.4757
Pre-demographic dividend,1992,31936048272.9205
Pre-demographic dividend,1991,31981646590.4088
Pre-demographic dividend,1990,45866840913.5941
Pre-demographic dividend,1989,42379076273.7047
Pre-demographic dividend,1988,34529072594.0933
Pre-demographic dividend,1987,34228123698.6699
Pre-demographic dividend,1986,28603317912.4916
Pre-demographic dividend,1985,39688775541.89
Pre-demographic dividend,1984,38101954093.2943
Pre-demographic dividend,1983,33642438642.9302
Pre-demographic dividend,1982,38308666465.9083
Pre-demographic dividend,1981,45324727583.4544
Pre-demographic dividend,1980,71905506791.3501
Pre-demographic dividend,1979,54773712262.9919
Pre-demographic dividend,1978,33656624786.1488
Pre-demographic dividend,1977,34243323137.8327
Pre-demographic dividend,1976,30372532631.041
Pre-demographic dividend,1975,25356717707.3186
Pre-demographic dividend,1974,26435877887.8771
Pre-demographic dividend,1973,13339027809.2688
Pre-demographic dividend,1972,9139929416.56067
Pre-demographic dividend,1971,9106490650.40252
Pre-demographic dividend,1970,7874322782.27194
Pre-demographic dividend,1969,7050513179.64846
Pre-demographic dividend,1968,6109161247.49936
Pre-demographic dividend,1967,5413026933.84336
Pre-demographic dividend,1966,5633925449.67598
Pre-demographic dividend,1965,5020881403.44325
Pre-demographic dividend,1964,4768570713.34085
Pre-demographic dividend,1963,4338933233.00585
Pre-demographic dividend,1962,3705623267.8894
Pre-demographic dividend,1961,3563761835.70331
Pre-demographic dividend,1960,3683330757.1173
Small states,2022,296246307705.085
Small states,2021,219769027148.52
Small states,2020,145172017338.544
Small states,2019,181412933781.776
Small states,2018,202577980322.557
Small states,2017,166719041749.627
Small states,2016,146235223121.923
Small states,2015,175872212000.0
Small states,2014,261122727599.045
Small states,2013,276751461184.783
Small states,2012,265066426728.157
Small states,2011,246080288574.331
Small states,2010,176606425931.295
Small states,2009,129595612044.388
Small states,2008,189024839298.748
Small states,2007,139279686492.226
Small states,2006,121813419953.039
Small states,2005,98992709162.9521
Small states,2004,76340295727.3744
Small states,2003,61535259547.4759
Small states,2002,50940348540.9278
Small states,2001,49887323384.2177
Small states,2000,51657760416.6982
Small states,1999,40233566440.7332
Small states,1998,34318767241.7856
Small states,1997,38794637327.9578
Small states,1996,37146334792.2109
Small states,1995,33575696858.2982
Small states,1994,28818609527.5465
Small states,1993,27000248494.5806
Small states,1992,27408892024.2929
Small states,1991,26962013589.7038
Small states,1990,27075821415.3352
Small states,1989,24956281176.5132
Small states,1988,21931498875.1008
Small states,1987,21696518530.0105
Small states,1986,19289275439.1958
Small states,1985,23246344450.5176
Small states,1984,25997181023.7088
Small states,1983,25469780693.6171
Small states,1982,29302571211.3133
Small states,1981,34801111286.4279
Small states,1980,34453340375.6941
Small states,1979,24613901923.538
Small states,1978,18330873836.3668
Small states,1977,17693496878.8549
Small states,1976,16029538509.5014
Small states,1975,13685565616.01
Small states,1974,12633838972.5684
Small states,1973,5527577868.23347
Small states,1972,4074620790.13175
Small states,1971,3513772798.35885
Small states,1970,2903727614.32518
Small states,1969,2633689692.36045
Small states,1968,2434714381.43907
Small states,1967,2357092144.76095
Small states,1966,2272871218.93886
Small states,1965,2078178689.11638
Small states,1964,2018052530.30449
Small states,1963,1930596299.30538
Small states,1962,1754590634.41967
Small states,1961,1674786823.63298
Small states,1960,1569839346.43405
South Asia,2022,555550000000.0
South Asia,2021,484255000000.0
South Asia,2020,344611000000.0
South Asia,2019,401813000000.0
South Asia,2018,401951000000.0
South Asia,2017,370377000000.0
South Asia,2016,332194000000.0
South Asia,2015,335047000000.0
South Asia,2014,391471000000.0
South Asia,2013,381560000000.0
South Asia,2012,358091000000.0
South Asia,2011,365279000000.0
South Asia,2010,277640000000.0
South Asia,2009,206751000000.0
South Asia,2008,241304000000.0
South Asia,2007,190415000000.0
South Asia,2006,159319000000.0
South Asia,2005,132978000000.0
South Asia,2004,105531000000.0
South Asia,2003,84099000000.0
South Asia,2002,70924000000.0
South Asia,2001,64516000000.0
South Asia,2000,64379000000.0
South Asia,1999,55157000000.0
South Asia,1998,52698000000.0
South Asia,1997,53954000000.0
South Asia,1996,51463000000.0
South Asia,1995,46620000000.0
South Asia,1994,39137000000.0
South Asia,1993,34854000000.0
South Asia,1992,32179000000.0
South Asia,1991,28516000000.0
South Asia,1990,27728000000.0
South Asia,1989,23941000000.0
South Asia,1988,21224000000.0
South Asia,1987,18679000000.0
South Asia,1986,15631000000.0
South Asia,1985,14984000000.0
South Asia,1984,15203000000.0
South Asia,1983,14863000000.0
South Asia,1982,14378000000.0
South Asia,1981,13921000000.0
South Asia,1980,13800000000.0
South Asia,1979,12511412609.7366
South Asia,1978,10126474642.6758
South Asia,1977,9229369513.16839
South Asia,1976,8109990568.09112
South Asia,1975,6632170064.5723
South Asia,1974,6301763041.42785
South Asia,1973,4961111514.18414
South Asia,1972,4403424508.45244
South Asia,1971,3217968997.96041
South Asia,1970,3138158258.92369
South Asia,1969,2796568295.84655
South Asia,1968,2679512545.25936
South Asia,1967,2937035196.55117
South Asia,1966,3261598868.63382
South Asia,1965,2957253917.10714
South Asia,1964,2848711312.0172
South Asia,1963,2667806970.20064
South Asia,1962,2400707030.22443
South Asia,1961,2394322171.1015
South Asia,1960,2326217007.1235
South Asia (IDA & IBRD),2022,555550000000.0
South Asia (IDA & IBRD),2021,484255000000.0
South Asia (IDA & IBRD),2020,344611000000.0
South Asia (IDA & IBRD),2019,401813000000.0
South Asia (IDA & IBRD),2018,401951000000.0
South Asia (IDA & IBRD),2017,370377000000.0
South Asia (IDA & IBRD),2016,332194000000.0
South Asia (IDA & IBRD),2015,335047000000.0
South Asia (IDA & IBRD),2014,391471000000.0
South Asia (IDA & IBRD),2013,381560000000.0
South Asia (IDA & IBRD),2012,358091000000.0
South Asia (IDA & IBRD),2011,365279000000.0
South Asia (IDA & IBRD),2010,277640000000.0
South Asia (IDA & IBRD),2009,206751000000.0
South Asia (IDA & IBRD),2008,241304000000.0
South Asia (IDA & IBRD),2007,190415000000.0
South Asia (IDA & IBRD),2006,159319000000.0
South Asia (IDA & IBRD),2005,132978000000.0
South Asia (IDA & IBRD),2004,105531000000.0
South Asia (IDA & IBRD),2003,84099000000.0
South Asia (IDA & IBRD),2002,70924000000.0
South Asia (IDA & IBRD),2001,64516000000.0
South Asia (IDA & IBRD),2000,64379000000.0
South Asia (IDA & IBRD),1999,55157000000.0
South Asia (IDA & IBRD),1998,52698000000.0
South Asia (IDA & IBRD),1997,53954000000.0
South Asia (IDA & IBRD),1996,51463000000.0
South Asia (IDA & IBRD),1995,46620000000.0
South Asia (IDA & IBRD),1994,39137000000.0
South Asia (IDA & IBRD),1993,34854000000.0
South Asia (IDA & IBRD),1992,32179000000.0
South Asia (IDA & IBRD),1991,28516000000.0
South Asia (IDA & IBRD),1990,27728000000.0
South Asia (IDA & IBRD),1989,23941000000.0
South Asia (IDA & IBRD),1988,21224000000.0
South Asia (IDA & IBRD),1987,18679000000.0
South Asia (IDA & IBRD),1986,15631000000.0
South Asia (IDA & IBRD),1985,14984000000.0
South Asia (IDA & IBRD),1984,15203000000.0
South Asia (IDA & IBRD),1983,14863000000.0
South Asia (IDA & IBRD),1982,14378000000.0
South Asia (IDA & IBRD),1981,13921000000.0
South Asia (IDA & IBRD),1980,13800000000.0
South Asia (IDA & IBRD),1979,12511412609.7366
South Asia (IDA & IBRD),1978,10126474642.6758
South Asia (IDA & IBRD),1977,9229369513.16839
South Asia (IDA & IBRD),1976,8109990568.09112
South Asia (IDA & IBRD),1975,6632170064.5723
South Asia (IDA & IBRD),1974,6301763041.42785
South Asia (IDA & IBRD),1973,4961111514.18414
South Asia (IDA & IBRD),1972,4403424508.45244
South Asia (IDA & IBRD),1971,3217968997.96041
South Asia (IDA & IBRD),1970,3138158258.92369
South Asia (IDA & IBRD),1969,2796568295.84655
South Asia (IDA & IBRD),1968,2679512545.25936
South Asia (IDA & IBRD),1967,2937035196.55117
South Asia (IDA & IBRD),1966,3261598868.63382
South Asia (IDA & IBRD),1965,2957253917.10714
South Asia (IDA & IBRD),1964,2848711312.0172
South Asia (IDA & IBRD),1963,2667806970.20064
South Asia (IDA & IBRD),1962,2400707030.22443
South Asia (IDA & IBRD),1961,2394322171.1015
South Asia (IDA & IBRD),1960,2326217007.1235
Sub-Saharan Africa,2022,455022646155.431
Sub-Saharan Africa,2021,401326313069.609
Sub-Saharan Africa,2020,296529003169.54
Sub-Saharan Africa,2019,341407960107.313
Sub-Saharan Africa,2018,363521235202.271
Sub-Saharan Africa,2017,313374245706.273
Sub-Saharan Africa,2016,261692103063.696
Sub-Saharan Africa,2015,293978797662.264
Sub-Saharan Africa,2014,415922475897.719
Sub-Saharan Africa,2013,416441600053.865
Sub-Saharan Africa,2012,439877934768.572
Sub-Saharan Africa,2011,454021543100.602
Sub-Saharan Africa,2010,355577827637.903
Sub-Saharan Africa,2009,264012002259.545
Sub-Saharan Africa,2008,358827908444.278
Sub-Saharan Africa,2007,282698451942.438
Sub-Saharan Africa,2006,236684256312.097
Sub-Saharan Africa,2005,200711174223.39
Sub-Saharan Africa,2004,159963967842.659
Sub-Saharan Africa,2003,118219921885.827
Sub-Saharan Africa,2002,96617691193.6113
Sub-Saharan Africa,2001,90647763397.9365
Sub-Saharan Africa,2000,95290591697.1612
Sub-Saharan Africa,1999,79986528782.6187
Sub-Saharan Africa,1998,73673211467.3145
Sub-Saharan Africa,1997,88109710860.205
Sub-Saharan Africa,1996,86973495537.9018
Sub-Saharan Africa,1995,77331319820.543
Sub-Saharan Africa,1994,65533869882.9221
Sub-Saharan Africa,1993,63587659281.9636
Sub-Saharan Africa,1992,65121802459.3668
Sub-Saharan Africa,1991,64578304177.8232
Sub-Saharan Africa,1990,68944474387.5464
Sub-Saharan Africa,1989,61405203615.875
Sub-Saharan Africa,1988,54968082705.1031
Sub-Saharan Africa,1987,53448712044.4313
Sub-Saharan Africa,1986,45979146442.6977
Sub-Saharan Africa,1985,51280780237.3823
Sub-Saharan Africa,1984,51699011257.0087
Sub-Saharan Africa,1983,50355418850.9625
Sub-Saharan Africa,1982,51991975014.7181
Sub-Saharan Africa,1981,62214389719.0652
Sub-Saharan Africa,1980,78464786293.2454
Sub-Saharan Africa,1979,57510162409.5207
Sub-Saharan Africa,1978,40041626889.688
Sub-Saharan Africa,1977,39237540943.9704
Sub-Saharan Africa,1976,33081804875.5388
Sub-Saharan Africa,1975,29788244132.4525
Sub-Saharan Africa,1974,32194324612.7878
Sub-Saharan Africa,1973,20028020361.1308
Sub-Saharan Africa,1972,13956708169.2022
Sub-Saharan Africa,1971,12599748788.337
Sub-Saharan Africa,1970,11566071080.9101
Sub-Saharan Africa,1969,10585930465.8997
Sub-Saharan Africa,1968,9379286767.58864
Sub-Saharan Africa,1967,8673008971.47823
Sub-Saharan Africa,1966,8470185755.97714
Sub-Saharan Africa,1965,7916282761.35994
Sub-Saharan Africa,1964,7550789149.67015
Sub-Saharan Africa,1963,6812595010.00373
Sub-Saharan Africa,1962,6078519108.21551
Sub-Saharan Africa,1961,5868488976.42758
Sub-Saharan Africa,1960,5797449373.02872
Sub-Saharan Africa (excluding high income),2022,454486035012.111
Sub-Saharan Africa (excluding high income),2021,400862705918.302
Sub-Saharan Africa (excluding high income),2020,296096831583.638
Sub-Saharan Africa (excluding high income),2019,340889655755.163
Sub-Saharan Africa (excluding high income),2018,362951736936.473
Sub-Saharan Africa (excluding high income),2017,312826252179.633
Sub-Saharan Africa (excluding high income),2016,261231241323.232
Sub-Saharan Africa (excluding high income),2015,293563845464.29
Sub-Saharan Africa (excluding high income),2014,415383014191.799
Sub-Saharan Africa (excluding high income),2013,415863766372.824
Sub-Saharan Africa (excluding high income),2012,439382243867.238
Sub-Saharan Africa (excluding high income),2011,453540193601.701
Sub-Saharan Africa (excluding high income),2010,355178903354.191
Sub-Saharan Africa (excluding high income),2009,263616822524.031
Sub-Saharan Africa (excluding high income),2008,358398730986.768
Sub-Saharan Africa (excluding high income),2007,282338888027.507
Sub-Saharan Africa (excluding high income),2006,236303836743.671
Sub-Saharan Africa (excluding high income),2005,200370641162.796
Sub-Saharan Africa (excluding high income),2004,159672343081.763
Sub-Saharan Africa (excluding high income),2003,117944871739.252
Sub-Saharan Africa (excluding high income),2002,96388792328.3057
Sub-Saharan Africa (excluding high income),2001,90430899227.7495
Sub-Saharan Africa (excluding high income),2000,95096013354.1216
Sub-Saharan Africa (excluding high income),1999,79841221458.7495
Sub-Saharan Africa (excluding high income),1998,73551043762.4851
Sub-Saharan Africa (excluding high income),1997,87996838815.4186
Sub-Saharan Africa (excluding high income),1996,86833337738.6529
Sub-Saharan Africa (excluding high income),1995,77279903116.1473
Sub-Saharan Africa (excluding high income),1994,65483294976.7176
Sub-Saharan Africa (excluding high income),1993,63537056630.4265
Sub-Saharan Africa (excluding high income),1992,65074251629.4172
Sub-Saharan Africa (excluding high income),1991,64529735264.7777
Sub-Saharan Africa (excluding high income),1990,68888896885.2222
Sub-Saharan Africa (excluding high income),1989,61371742396.7569
Sub-Saharan Africa (excluding high income),1988,54936548996.4714
Sub-Saharan Africa (excluding high income),1987,53427258739.0104
Sub-Saharan Africa (excluding high income),1986,45961626207.1251
Sub-Saharan Africa (excluding high income),1985,51253234218.2233
Sub-Saharan Africa (excluding high income),1984,51673491746.4052
Sub-Saharan Africa (excluding high income),1983,50335941344.2108
Sub-Saharan Africa (excluding high income),1982,51977572313.6714
Sub-Saharan Africa (excluding high income),1981,62198114170.9223
Sub-Saharan Africa (excluding high income),1980,78444704479.1469
Sub-Saharan Africa (excluding high income),1979,57488639918.1284
Sub-Saharan Africa (excluding high income),1978,40026968750.0596
Sub-Saharan Africa (excluding high income),1977,39226985348.0791
Sub-Saharan Africa (excluding high income),1976,33073187672.87
Sub-Saharan Africa (excluding high income),1975,29782651054.1702
Sub-Saharan Africa (excluding high income),1974,32187749158.4514
Sub-Saharan Africa (excluding high income),1973,20024294961.5431
Sub-Saharan Africa (excluding high income),1972,13953893239.4361
Sub-Saharan Africa (excluding high income),1971,12597936816.7742
Sub-Saharan Africa (excluding high income),1970,11564238830.1739
Sub-Saharan Africa (excluding high income),1969,10583049406.6379
Sub-Saharan Africa (excluding high income),1968,9376382035.82563
Sub-Saharan Africa (excluding high income),1967,8671119963.29455
Sub-Saharan Africa (excluding high income),1966,8468292768.71262
Sub-Saharan Africa (excluding high income),1965,7914378907.36704
Sub-Saharan Africa (excluding high income),1964,7549907704.92032
Sub-Saharan Africa (excluding high income),1963,6811699083.01552
Sub-Saharan Africa (excluding high income),1962,6077608779.78244
Sub-Saharan Africa (excluding high income),1961,5867574527.52501
Sub-Saharan Africa (excluding high income),1960,5795503950.77001
Sub-Saharan Africa (IDA & IBRD countries),2022,455022646155.431
Sub-Saharan Africa (IDA & IBRD countries),2021,401326313069.609
Sub-Saharan Africa (IDA & IBRD countries),2020,296529003169.54
Sub-Saharan Africa (IDA & IBRD countries),2019,341407960107.313
Sub-Saharan Africa (IDA & IBRD countries),2018,363521235202.271
Sub-Saharan Africa (IDA & IBRD countries),2017,313374245706.273
Sub-Saharan Africa (IDA & IBRD countries),2016,261692103063.696
Sub-Saharan Africa (IDA & IBRD countries),2015,293978797662.264
Sub-Saharan Africa (IDA & IBRD countries),2014,415922475897.719
Sub-Saharan Africa (IDA & IBRD countries),2013,416441600053.865
Sub-Saharan Africa (IDA & IBRD countries),2012,439877934768.572
Sub-Saharan Africa (IDA & IBRD countries),2011,454021543100.602
Sub-Saharan Africa (IDA & IBRD countries),2010,355577827637.903
Sub-Saharan Africa (IDA & IBRD countries),2009,264012002259.545
Sub-Saharan Africa (IDA & IBRD countries),2008,358827908444.278
Sub-Saharan Africa (IDA & IBRD countries),2007,282698451942.438
Sub-Saharan Africa (IDA & IBRD countries),2006,236684256312.097
Sub-Saharan Africa (IDA & IBRD countries),2005,200711174223.39
Sub-Saharan Africa (IDA & IBRD countries),2004,159963967842.659
Sub-Saharan Africa (IDA & IBRD countries),2003,118219921885.827
Sub-Saharan Africa (IDA & IBRD countries),2002,96617691193.6113
Sub-Saharan Africa (IDA & IBRD countries),2001,90647763397.9365
Sub-Saharan Africa (IDA & IBRD countries),2000,95290591697.1612
Sub-Saharan Africa (IDA & IBRD countries),1999,79986528782.6187
Sub-Saharan Africa (IDA & IBRD countries),1998,73673211467.3145
Sub-Saharan Africa (IDA & IBRD countries),1997,88109710860.205
Sub-Saharan Africa (IDA & IBRD countries),1996,86973495537.9018
Sub-Saharan Africa (IDA & IBRD countries),1995,77331319820.543
Sub-Saharan Africa (IDA & IBRD countries),1994,65533869882.9221
Sub-Saharan Africa (IDA & IBRD countries),1993,63587659281.9636
Sub-Saharan Africa (IDA & IBRD countries),1992,65121802459.3668
Sub-Saharan Africa (IDA & IBRD countries),1991,64578304177.8232
Sub-Saharan Africa (IDA & IBRD countries),1990,68944474387.5464
Sub-Saharan Africa (IDA & IBRD countries),1989,61405203615.875
Sub-Saharan Africa (IDA & IBRD countries),1988,54968082705.1031
Sub-Saharan Africa (IDA & IBRD countries),1987,53448712044.4313
Sub-Saharan Africa (IDA & IBRD countries),1986,45979146442.6977
Sub-Saharan Africa (IDA & IBRD countries),1985,51280780237.3823
Sub-Saharan Africa (IDA & IBRD countries),1984,51699011257.0087
Sub-Saharan Africa (IDA & IBRD countries),1983,50355418850.9625
Sub-Saharan Africa (IDA & IBRD countries),1982,51991975014.7181
Sub-Saharan Africa (IDA & IBRD countries),1981,62214389719.0652
Sub-Saharan Africa (IDA & IBRD countries),1980,78464786293.2454
Sub-Saharan Africa (IDA & IBRD countries),1979,57510162409.5207
Sub-Saharan Africa (IDA & IBRD countries),1978,40041626889.688
Sub-Saharan Africa (IDA & IBRD countries),1977,39237540943.9704
Sub-Saharan Africa (IDA & IBRD countries),1976,33081804875.5388
Sub-Saharan Africa (IDA & IBRD countries),1975,29788244132.4525
Sub-Saharan Africa (IDA & IBRD countries),1974,32194324612.7878
Sub-Saharan Africa (IDA & IBRD countries),1973,20028020361.1308
Sub-Saharan Africa (IDA & IBRD countries),1972,13956708169.2022
Sub-Saharan Africa (IDA & IBRD countries),1971,12599748788.337
Sub-Saharan Africa (IDA & IBRD countries),1970,11566071080.9101
Sub-Saharan Africa (IDA & IBRD countries),1969,10585930465.8997
Sub-Saharan Africa (IDA & IBRD countries),1968,9379286767.58864
Sub-Saharan Africa (IDA & IBRD countries),1967,8673008971.47823
Sub-Saharan Africa (IDA & IBRD countries),1966,8470185755.97714
Sub-Saharan Africa (IDA & IBRD countries),1965,7916282761.35994
Sub-Saharan Africa (IDA & IBRD countries),1964,7550789149.67015
Sub-Saharan Africa (IDA & IBRD countries),1963,6812595010.00373
Sub-Saharan Africa (IDA & IBRD countries),1962,6078519108.21551
Sub-Saharan Africa (IDA & IBRD countries),1961,5868488976.42758
Sub-Saharan Africa (IDA & IBRD countries),1960,5797449373.02872
Upper middle income,2022,7205543852277.94
Upper middle income,2021,6438993206528.84
Upper middle income,2020,4890155238448.73
Upper middle income,2019,5099577705725.49
Upper middle income,2018,5152685987534.43
Upper middle income,2017,4609844686281.88
Upper middle income,2016,4121183257671.14
Upper middle income,2015,4426571636761.24
Upper middle income,2014,4975371223176.88
Upper middle income,2013,4916974025268.51
Upper middle income,2012,4786362010962.69
Upper middle income,2011,4558081145910.26
Upper middle income,2010,3735415560599.9
Upper middle income,2009,2877175360852.25
Upper middle income,2008,3676365002454.5
Upper middle income,2007,3060379372308.03
Upper middle income,2006,2542268706551.1
Upper middle income,2005,2079894559384.33
Upper middle income,2004,1679144680672.37
Upper middle income,2003,1310663239824.4
Upper middle income,2002,1083370511790.7
Upper middle income,2001,994847517537.331
Upper middle income,2000,1015255834637.99
Upper middle income,1999,824361166079.119
Upper middle income,1998,770435290875.052
Upper middle income,1997,803805362492.364
Upper middle income,1996,728866174601.796
Upper middle income,1995,681213993258.915
Upper middle income,1994,560681414974.315
Upper middle income,1993,455750239477.584
Upper middle income,1992,424833654164.902
Upper middle income,1991,383636682306.835
Upper middle income,1990,371057489316.757
Upper middle income,1989,345446730021.697
Upper middle income,1988,312792035988.217
Upper middle income,1987,272601528986.917
Upper middle income,1986,232406424975.865
Upper middle income,1985,246475573319.062
Upper middle income,1984,251846029960.767
Upper middle income,1983,230649217998.513
Upper middle income,1982,227571519970.161
Upper middle income,1981,236637972451.739
Upper middle income,1980,253265356721.414
Upper middle income,1979,193810500054.351
Upper middle income,1978,138460366616.155
Upper middle income,1977,122400116372.88
Upper middle income,1976,103039196633.561
Upper middle income,1975,90571157671.4678
Upper middle income,1974,88437812227.8286
Upper middle income,1973,57034597085.668
Upper middle income,1972,38054301343.615
Upper middle income,1971,32226936376.364
Upper middle income,1970,30169947114.547
Upper middle income,1969,27628211789.3434
Upper middle income,1968,25020532488.9296
Upper middle income,1967,22881402486.0614
Upper middle income,1966,22768025125.1739
Upper middle income,1965,21439890326.2054
Upper middle income,1964,20043497728.3352
Upper middle income,1963,18003983924.3994
Upper middle income,1962,16588199327.8854
Upper middle income,1961,16054397806.5613
Upper middle income,1960,16482130775.0521
World,2022,25049034441253.3
World,2021,22476663774627.3
World,2020,17740398225218.8
World,2019,19111212867571.6
World,2018,19646884978553.3
World,2017,17828970820337.4
World,2016,16115390496806.5
World,2015,16635598196824.6
World,2014,19091163922869.4
World,2013,19052066890603.2
World,2012,18602212388040.5
World,2011,18430182523394.0
World,2010,15378953626074.8
World,2009,12627961553285.1
World,2008,16250173046827.7
World,2007,14102762064283.7
World,2006,12192991976874.7
World,2005,10564709718055.8
World,2004,9270817883264.13
World,2003,7630347626991.99
World,2002,6533845542372.74
World,2001,6227430926418.89
World,2000,6487130667802.85
World,1999,5749005274771.61
World,1998,5528699708910.51
World,1997,5629118233979.54
World,1996,5433330810609.52
World,1995,5183912940177.22
World,1994,4344915788870.96
World,1993,3811139066948.79
World,1992,3804565992098.85
World,1991,3547841984277.41
World,1990,3462445469371.91
World,1989,3032857921670.97
World,1988,2795216384547.91
World,1987,2436804653853.86
World,1986,2067438534554.85
World,1985,1896147810373.31
World,1984,1876109531343.82
World,1983,1759674985770.93
World,1982,1808557311241.67
World,1981,1952140389462.55
World,1980,1973494669424.9
World,1979,1604760606547.08
World,1978,1258986358095.61
World,1977,1086057473177.66
World,1976,956922704956.973
World,1975,845110057712.64
World,1974,815265083004.545
World,1973,555695611169.39
World,1972,400202350647.67
World,1971,338152052319.74
World,1970,301911754955.837
World,1969,262557584432.077
World,1968,229949781910.538
World,1967,206817540418.804
World,1966,195894282520.098
World,1965,178966125929.578
World,1964,165019071432.189
World,1963,146809058428.297
World,1962,133931052055.39
World,1961,128232724358.154
World,1960,122820384160.008
Afghanistan,2022,992000000.0
Afghanistan,2021,1035000000.0
Afghanistan,2020,777000000.0
Afghanistan,2019,864000000.0
Afghanistan,2018,875000000.0
Afghanistan,2017,723000000.0
Afghanistan,2016,596000000.0
Afghanistan,2015,571000000.0
Afghanistan,2014,570000000.0
Afghanistan,2013,515000000.0
Afghanistan,2012,429000000.0
Afghanistan,2011,376000000.0
Afghanistan,2010,388000000.0
Afghanistan,2009,403000000.0
Afghanistan,2008,540000000.0
Afghanistan,2007,454000000.0
Afghanistan,2006,416000000.0
Afghanistan,2005,384000000.0
Afghanistan,2004,305000000.0
Afghanistan,2003,144000000.0
Afghanistan,2002,100000000.0
Afghanistan,2001,68000000.0
Afghanistan,2000,137000000.0
Afghanistan,1999,166000000.0
Afghanistan,1998,159000000.0
Afghanistan,1997,144000000.0
Afghanistan,1996,128000000.0
Afghanistan,1995,166000000.0
Afghanistan,1994,105000000.0
Afghanistan,1993,688000000.0
Afghanistan,1992,181000000.0
Afghanistan,1991,189000000.0
Afghanistan,1990,235000000.0
Afghanistan,1989,236000000.0
Afghanistan,1988,395000000.0
Afghanistan,1987,512000000.0
Afghanistan,1986,552000000.0
Afghanistan,1985,567000000.0
Afghanistan,1984,633000000.0
Afghanistan,1983,729000000.0
Afghanistan,1982,708000000.0
Afghanistan,1981,694000000.0
Afghanistan,1980,670000000.0
Afghanistan,1979,474000000.0
Afghanistan,1978,321000000.0
Afghanistan,1977,306000000.0
Afghanistan,1976,291000000.0
Afghanistan,1975,217000000.0
Afghanistan,1974,230000000.0
Afghanistan,1973,143000000.0
Afghanistan,1972,122000000.0
Afghanistan,1971,100000000.0
Afghanistan,1970,86000000.0
Afghanistan,1969,82000000.0
Afghanistan,1968,72000000.0
Afghanistan,1967,66000000.0
Afghanistan,1966,67000000.0
Afghanistan,1965,74000000.0
Afghanistan,1964,64000000.0
Afghanistan,1963,70000000.0
Afghanistan,1962,58000000.0
Afghanistan,1961,53000000.0
Afghanistan,1960,50000000.0
Albania,2022,4309000000.0
Albania,2021,3559000000.0
Albania,2020,2506000000.0
Albania,2019,2716000000.0
Albania,2018,2870000000.0
Albania,2017,2292000000.0
Albania,2016,1959000000.0
Albania,2015,1917000000.0
Albania,2014,2429000000.0
Albania,2013,2339000000.0
Albania,2012,1967000000.0
Albania,2011,1947000000.0
Albania,2010,1544000000.0
Albania,2009,1091000000.0
Albania,2008,1027000000.0
Albania,2007,1079000000.0
Albania,2006,790000000.0
Albania,2005,659000000.0
Albania,2004,605000000.0
Albania,2003,448000000.0
Albania,2002,340000000.0
Albania,2001,307000000.0
Albania,2000,261000000.0
Albania,1999,351000000.0
Albania,1998,205000000.0
Albania,1997,139000000.0
Albania,1996,207000000.0
Albania,1995,202000000.0
Albania,1994,140000000.0
Albania,1993,122000000.0
Albania,1992,70000000.0
Albania,1991,100000000.0
Albania,1990,230000000.0
Albania,1989,305000000.0
Albania,1988,258000000.0
Albania,1987,
Albania,1986,
Albania,1985,
Albania,1984,
Albania,1983,
Albania,1982,
Albania,1981,
Albania,1980,
Albania,1979,
Albania,1978,
Albania,1977,
Albania,1976,
Albania,1975,
Albania,1974,
Albania,1973,
Albania,1972,
Albania,1971,
Albania,1970,
Albania,1969,
Albania,1968,
Albania,1967,
Albania,1966,
Albania,1965,
