Country,Year,Merchandise imports (current US$)
Lower middle income,2009,876404000000.0
Lower middle income,2008,1078842000000.0
Lower middle income,2007,816833000000.0
Lower middle income,2006,648619000000.0
Lower middle income,2005,552271000000.0
Lower middle income,2004,441657000000.0
Lower middle income,2003,348432000000.0
Lower middle income,2002,293635555443.265
Lower middle income,2001,273879184340.027
Lower middle income,2000,266336370115.589
Lower middle income,1999,248610756688.161
Lower middle income,1998,246328905329.283
Lower middle income,1997,252970383265.098
Lower middle income,1996,242348420210.048
Lower middle income,1995,221100492606.99
Lower middle income,1994,179804084914.815
Lower middle income,1993,170359561162.439
Lower middle income,1992,168116724359.895
Lower middle income,1991,155740307958.493
Lower middle income,1990,148910762780.964
Lower middle income,1989,140278857946.429
Lower middle income,1988,131569053612.213
Lower middle income,1987,114503919761.532
Lower middle income,1986,106213188087.219
Lower middle income,1985,113182100596.973
Lower middle income,1984,118374351483.281
Lower middle income,1983,124858525785.677
Lower middle income,1982,125016546170.454
Lower middle income,1981,138162133855.468
Lower middle income,1980,123600768939.271
Lower middle income,1979,93183807253.7946
Lower middle income,1978,93263227710.5437
Lower middle income,1977,80614983348.5473
Lower middle income,1976,65809507661.3399
Lower middle income,1975,63731696792.8779
Lower middle income,1974,47028716139.0171
Lower middle income,1973,29340492521.7018
Lower middle income,1972,22557556215.5654
Lower middle income,1971,20463203319.8198
Lower middle income,1970,18313385569.8436
Lower middle income,1969,16585100712.0196
Lower middle income,1968,15728723362.6999
Lower middle income,1967,16006047633.8527
Lower middle income,1966,16210158297.4211
Lower middle income,1965,15094205430.3024
Lower middle income,1964,14527354620.0661
Lower middle income,1963,12724746857.5732
Lower middle income,1962,11542236165.3778
Lower middle income,1961,12506215331.9048
Lower middle income,1960,12461843448.5204
Middle East & North Africa,2022,1314587339348.37
Middle East & North Africa,2021,1071808512725.62
Middle East & North Africa,2020,865664258890.377
Middle East & North Africa,2019,1010506486352.8
Middle East & North Africa,2018,946868847336.492
Middle East & North Africa,2017,911525458425.196
Middle East & North Africa,2016,891582609803.5
Middle East & North Africa,2015,964682551875.25
Middle East & North Africa,2014,1045834767808.44
Middle East & North Africa,2013,1019641461202.49
Middle East & North Africa,2012,989926103102.672
Middle East & North Africa,2011,893225293814.508
Middle East & North Africa,2010,780530724811.556
Middle East & North Africa,2009,688999686846.818
Middle East & North Africa,2008,799223683269.143
Middle East & North Africa,2007,616534257912.368
Middle East & North Africa,2006,474635969974.275
Middle East & North Africa,2005,423046023256.98
Middle East & North Africa,2004,358136336474.945
Middle East & North Africa,2003,275241727323.451
Middle East & North Africa,2002,239373606119.246
Middle East & North Africa,2001,227755972724.404
Middle East & North Africa,2000,219946425317.069
Middle East & North Africa,1999,203880149815.16
Middle East & North Africa,1998,204620415142.01
Middle East & North Africa,1997,200245295985.773
Middle East & North Africa,1996,198999434476.504
Middle East & North Africa,1995,182060955201.735
Middle East & North Africa,1994,162427305839.009
Middle East & North Africa,1993,165232256771.357
Middle East & North Africa,1992,168043250685.965
Middle East & North Africa,1991,151273974914.476
Middle East & North Africa,1990,140115608171.394
Middle East & North Africa,1989,136807075384.046
Middle East & North Africa,1988,134006153106.538
Middle East & North Africa,1987,115301108684.431
Middle East & North Africa,1986,111088142885.504
Middle East & North Africa,1985,119531196266.428
Middle East & North Africa,1984,139063122094.445
Middle East & North Africa,1983,150548817043.277
Middle East & North Africa,1982,159006977879.851
Middle East & North Africa,1981,158072329956.972
Middle East & North Africa,1980,132162036353.53
Middle East & North Africa,1979,102510129567.44
Middle East & North Africa,1978,93303646094.3361
Middle East & North Africa,1977,81040420761.3845
Middle East & North Africa,1976,62678819164.3871
Middle East & North Africa,1975,54834021027.2025
Middle East & North Africa,1974,38345743930.8038
Middle East & North Africa,1973,22798157739.5444
Middle East & North Africa,1972,15406583271.8595
Middle East & North Africa,1971,12769828679.0813
Middle East & North Africa,1970,11267140423.7623
Middle East & North Africa,1969,10184439435.513
Middle East & North Africa,1968,9006057894.81383
Middle East & North Africa,1967,7948535999.31456
Middle East & North Africa,1966,7994865529.97453
Middle East & North Africa,1965,7278772132.16502
Middle East & North Africa,1964,6846698900.57531
Middle East & North Africa,1963,6088304626.94583
Middle East & North Africa,1962,5411490613.82629
Middle East & North Africa,1961,5869750101.87598
Middle East & North Africa,1960,5805291624.43603
Middle East & North Africa (excluding high income),2022,468084397104.064
Middle East & North Africa (excluding high income),2021,366587550713.575
Middle East & North Africa (excluding high income),2020,310849134457.475
Middle East & North Africa (excluding high income),2019,385712288066.986
Middle East & North Africa (excluding high income),2018,374084268267.296
Middle East & North Africa (excluding high income),2017,341250052737.492
Middle East & North Africa (excluding high income),2016,314744857631.902
Middle East & North Africa (excluding high income),2015,353510362685.911
Middle East & North Africa (excluding high income),2014,415344259940.323
Middle East & North Africa (excluding high income),2013,403594881224.99
Middle East & North Africa (excluding high income),2012,402139594060.093
Middle East & North Africa (excluding high income),2011,369325774986.7
Middle East & North Africa (excluding high income),2010,345923900723.984
Middle East & North Africa (excluding high income),2009,300001279115.491
Middle East & North Africa (excluding high income),2008,323681565008.211
Middle East & North Africa (excluding high income),2007,243331764624.245
Middle East & North Africa (excluding high income),2006,198397351328.846
Middle East & North Africa (excluding high income),2005,186702023223.001
Middle East & North Africa (excluding high income),2004,157877751023.524
Middle East & North Africa (excluding high income),2003,113846900747.114
Middle East & North Africa (excluding high income),2002,102187266439.988
Middle East & North Africa (excluding high income),2001,99712156454.5602
Middle East & North Africa (excluding high income),2000,93683983762.4037
Middle East & North Africa (excluding high income),1999,89818855272.5927
Middle East & North Africa (excluding high income),1998,88861241644.1144
Middle East & North Africa (excluding high income),1997,83485755557.0976
Middle East & North Africa (excluding high income),1996,86292307959.1978
Middle East & North Africa (excluding high income),1995,78675251312.6547
Middle East & North Africa (excluding high income),1994,72484926792.0339
Middle East & North Africa (excluding high income),1993,74433808202.0679
Middle East & North Africa (excluding high income),1992,77215884856.4754
Middle East & North Africa (excluding high income),1991,74102365785.3954
Middle East & North Africa (excluding high income),1990,74361400781.8102
Middle East & North Africa (excluding high income),1989,77226083084.6807
Middle East & North Africa (excluding high income),1988,75498503226.7018
Middle East & North Africa (excluding high income),1987,61548346864.6636
Middle East & North Africa (excluding high income),1986,62499841556.2186
Middle East & North Africa (excluding high income),1985,65534834270.1177
Middle East & North Africa (excluding high income),1984,73870866005.135
Middle East & North Africa (excluding high income),1983,78491683204.9592
Middle East & North Africa (excluding high income),1982,82235452779.127
Middle East & North Africa (excluding high income),1981,87607879397.6823
Middle East & North Africa (excluding high income),1980,69776277380.7045
Middle East & North Africa (excluding high income),1979,51671362847.8246
Middle East & North Africa (excluding high income),1978,51074766497.8142
Middle East & North Africa (excluding high income),1977,46376442763.6296
Middle East & North Africa (excluding high income),1976,38316783012.9762
Middle East & North Africa (excluding high income),1975,37140927300.9044
Middle East & North Africa (excluding high income),1974,24847983022.2284
Middle East & North Africa (excluding high income),1973,13759449494.599
Middle East & North Africa (excluding high income),1972,9858627206.06944
Middle East & North Africa (excluding high income),1971,8089234612.44882
Middle East & North Africa (excluding high income),1970,7172413896.7918
Middle East & North Africa (excluding high income),1969,6473835264.72833
Middle East & North Africa (excluding high income),1968,5937408461.12923
Middle East & North Africa (excluding high income),1967,5397922189.06853
Middle East & North Africa (excluding high income),1966,5555994726.25078
Middle East & North Africa (excluding high income),1965,5033845442.1391
Middle East & North Africa (excluding high income),1964,4797246547.776
Middle East & North Africa (excluding high income),1963,4307731593.92131
Middle East & North Africa (excluding high income),1962,3717254180.83408
Middle East & North Africa (excluding high income),1961,4318949644.94715
Middle East & North Africa (excluding high income),1960,4402575116.23066
Middle East & North Africa (IDA & IBRD countries),2022,458986000000.0
Middle East & North Africa (IDA & IBRD countries),2021,359462000000.0
Middle East & North Africa (IDA & IBRD countries),2020,304807000000.0
Middle East & North Africa (IDA & IBRD countries),2019,378215000000.0
Middle East & North Africa (IDA & IBRD countries),2018,366813000000.0
Middle East & North Africa (IDA & IBRD countries),2017,334617000000.0
Middle East & North Africa (IDA & IBRD countries),2016,308627000000.0
Middle East & North Africa (IDA & IBRD countries),2015,346639000000.0
Middle East & North Africa (IDA & IBRD countries),2014,407271000000.0
Middle East & North Africa (IDA & IBRD countries),2013,395750000000.0
Middle East & North Africa (IDA & IBRD countries),2012,394323000000.0
Middle East & North Africa (IDA & IBRD countries),2011,362147000000.0
Middle East & North Africa (IDA & IBRD countries),2010,339200000000.0
Middle East & North Africa (IDA & IBRD countries),2009,294170000000.0
Middle East & North Africa (IDA & IBRD countries),2008,317390000000.0
Middle East & North Africa (IDA & IBRD countries),2007,238602000000.0
Middle East & North Africa (IDA & IBRD countries),2006,194541000000.0
Middle East & North Africa (IDA & IBRD countries),2005,183073000000.0
Middle East & North Africa (IDA & IBRD countries),2004,154809000000.0
Middle East & North Africa (IDA & IBRD countries),2003,111634000000.0
Middle East & North Africa (IDA & IBRD countries),2002,100201000000.0
Middle East & North Africa (IDA & IBRD countries),2001,97774000000.0
Middle East & North Africa (IDA & IBRD countries),2000,91863000000.0
Middle East & North Africa (IDA & IBRD countries),1999,88073000000.0
Middle East & North Africa (IDA & IBRD countries),1998,87134000000.0
Middle East & North Africa (IDA & IBRD countries),1997,81863000000.0
Middle East & North Africa (IDA & IBRD countries),1996,84615000000.0
Middle East & North Africa (IDA & IBRD countries),1995,77146000000.0
Middle East & North Africa (IDA & IBRD countries),1994,71076000000.0
Middle East & North Africa (IDA & IBRD countries),1993,72987000000.0
Middle East & North Africa (IDA & IBRD countries),1992,75715000000.0
Middle East & North Africa (IDA & IBRD countries),1991,72662000000.0
Middle East & North Africa (IDA & IBRD countries),1990,72916000000.0
Middle East & North Africa (IDA & IBRD countries),1989,75725000000.0
Middle East & North Africa (IDA & IBRD countries),1988,74031000000.0
Middle East & North Africa (IDA & IBRD countries),1987,60352000000.0
Middle East & North Africa (IDA & IBRD countries),1986,61285000000.0
Middle East & North Africa (IDA & IBRD countries),1985,64261000000.0
Middle East & North Africa (IDA & IBRD countries),1984,72435000000.0
Middle East & North Africa (IDA & IBRD countries),1983,76966000000.0
Middle East & North Africa (IDA & IBRD countries),1982,80637000000.0
Middle East & North Africa (IDA & IBRD countries),1981,85905000000.0
Middle East & North Africa (IDA & IBRD countries),1980,68420000000.0
Middle East & North Africa (IDA & IBRD countries),1979,50667000000.0
Middle East & North Africa (IDA & IBRD countries),1978,50082000000.0
Middle East & North Africa (IDA & IBRD countries),1977,45475000000.0
Middle East & North Africa (IDA & IBRD countries),1976,37572000000.0
Middle East & North Africa (IDA & IBRD countries),1975,36419000000.0
Middle East & North Africa (IDA & IBRD countries),1974,24365000000.0
Middle East & North Africa (IDA & IBRD countries),1973,13492000000.0
Middle East & North Africa (IDA & IBRD countries),1972,9666999999.99999
Middle East & North Africa (IDA & IBRD countries),1971,7932000000.0
Middle East & North Africa (IDA & IBRD countries),1970,7033000000.0
Middle East & North Africa (IDA & IBRD countries),1969,6348000000.0
Middle East & North Africa (IDA & IBRD countries),1968,5822000000.0
Middle East & North Africa (IDA & IBRD countries),1967,5293000000.0
Middle East & North Africa (IDA & IBRD countries),1966,5448000000.0
Middle East & North Africa (IDA & IBRD countries),1965,4936000000.0
Middle East & North Africa (IDA & IBRD countries),1964,4704000000.0
Middle East & North Africa (IDA & IBRD countries),1963,4224000000.0
Middle East & North Africa (IDA & IBRD countries),1962,3645000000.0
Middle East & North Africa (IDA & IBRD countries),1961,4235000000.0
Middle East & North Africa (IDA & IBRD countries),1960,4317000000.0
Middle income,2022,8259853867261.21
Middle income,2021,7390226664426.18
Middle income,2020,5602528963135.81
Middle income,2019,6153444668563.39
Middle income,2018,6296597760932.01
Middle income,2017,5599385637263.41
Middle income,2016,4857700011675.59
Middle income,2015,5143386950193.78
Middle income,2014,5989500735096.14
Middle income,2013,6035471249719.65
Middle income,2012,5814679912134.18
Middle income,2011,5563115644721.73
Middle income,2010,4480955822494.85
Middle income,2009,3417592828460.62
Middle income,2008,4281609642805.81
Middle income,2007,3449557155948.52
Middle income,2006,2841666790302.69
Middle income,2005,2400301591458.2
Middle income,2004,2000979136314.94
Middle income,2003,1543520519956.3
Middle income,2002,1281683102389.48
Middle income,2001,1199082491767.43
Middle income,2000,1198387361554.01
Middle income,1999,1005540106517.31
Middle income,1998,995816343010.049
Middle income,1997,1065452271434.1
Middle income,1996,993004591668.486
Middle income,1995,914744011422.459
Middle income,1994,757939761669.574
Middle income,1993,661515788421.911
Middle income,1992,604953209863.704
Middle income,1991,534332477986.095
Middle income,1990,494175194046.894
Middle income,1989,466098630965.426
Middle income,1988,425288639238.849
Middle income,1987,359838212221.251
Middle income,1986,330384111800.422
Middle income,1985,331641408926.709
Middle income,1984,334353159986.721
Middle income,1983,331750690128.546
Middle income,1982,354395557725.649
Middle income,1981,394533303888.932
Middle income,1980,350061487793.01
Middle income,1979,249016431898.433
Middle income,1978,215738479658.299
Middle income,1977,185677173307.298
Middle income,1976,163728295475.564
Middle income,1975,164005885557.578
Middle income,1974,135482088354.712
Middle income,1973,83747228212.5054
Middle income,1972,61127602100.9657
Middle income,1971,54438543141.6181
Middle income,1970,48801785960.5723
Middle income,1969,43154700844.9522
Middle income,1968,40619766681.0821
Middle income,1967,39164675454.3789
Middle income,1966,38484179320.7551
Middle income,1965,35596947833.0697
Middle income,1964,33790706830.8372
Middle income,1963,29849372693.9883
Middle income,1962,27983929868.3351
Middle income,1961,28970979015.2013
Middle income,1960,29412463338.1333
North America,2022,3958948000000.0
North America,2021,3440354000000.0
North America,2020,2828414000000.0
North America,2019,3031556000000.0
North America,2018,3084428000000.0
North America,2017,2853222000000.0
North America,2016,2664071000000.0
North America,2015,2746359000000.0
North America,2014,2888828000000.0
North America,2013,2805849000000.0
North America,2012,2813720000000.0
North America,2011,2730564000000.0
North America,2010,2372846000000.0
North America,2009,1936267000000.0
North America,2008,2589657000000.0
North America,2007,2411758000000.0
North America,2006,2278171000000.0
North America,2005,2056102000000.0
North America,2004,1806599000000.0
North America,2003,1548904000000.0
North America,2002,1428476000000.0
North America,2001,1407191000000.0
North America,2000,1504806000000.0
North America,1999,1280335000000.0
North America,1998,1151048000000.0
North America,1997,1100512000000.0
North America,1996,997752000000.0
North America,1995,939828000000.0
North America,1994,844838000000.0
North America,1993,743007000000.0
North America,1992,683747000000.0
North America,1991,633655000000.0
North America,1990,640826000000.0
North America,1989,613249000000.0
North America,1988,572742000000.0
North America,1987,517456000000.0
North America,1986,468228000000.0
North America,1985,433506000000.0
North America,1984,424566000000.0
North America,1983,335045000000.0
North America,1982,313363000000.0
North America,1981,343685000000.0
North America,1980,319841000000.0
North America,1979,279139296110.838
North America,1978,232550849794.541
North America,1977,202691722673.059
North America,1976,172908669760.804
North America,1975,142126642364.23
North America,1974,144867315849.266
North America,1973,98380969129.5626
North America,1972,78977040894.5667
North America,1971,64877286800.2592
North America,1970,56769377658.9919
North America,1969,52382097934.7728
North America,1968,47676507703.5261
North America,1967,39610639572.621
North America,1966,37843916160.9744
North America,1965,31841060467.1251
North America,1964,27735055121.7574
North America,1963,25090475374.6921
North America,1962,24024435469.0811
North America,1961,22021481618.2569
North America,1960,22465915156.3708
Not classified,2022,
Not classified,2021,
Not classified,2020,
Not classified,2019,
Not classified,2018,
Not classified,2017,
Not classified,2016,
Not classified,2015,
Not classified,2014,
Not classified,2013,
Not classified,2012,
Not classified,2011,
Not classified,2010,
Not classified,2009,
Not classified,2008,
Not classified,2007,
Not classified,2006,
Not classified,2005,
Not classified,2004,
Not classified,2003,
Not classified,2002,
Not classified,2001,
Not classified,2000,
Not classified,1999,
Not classified,1998,
Not classified,1997,
Not classified,1996,
Not classified,1995,
Not classified,1994,
Not classified,1993,
Not classified,1992,
Not classified,1991,
Not classified,1990,
Not classified,1989,
Not classified,1988,
Not classified,1987,
Not classified,1986,
Not classified,1985,
Not classified,1984,
Not classified,1983,
Not classified,1982,
Not classified,1981,
Not classified,1980,
Not classified,1979,
Not classified,1978,
Not classified,1977,
Not classified,1976,
Not classified,1975,
Not classified,1974,
Not classified,1973,
Not classified,1972,
Not classified,1971,
Not classified,1970,
Not classified,1969,
Not classified,1968,
Not classified,1967,
Not classified,1966,
Not classified,1965,
Not classified,1964,
Not classified,1963,
Not classified,1962,
Not classified,1961,
Not classified,1960,
OECD members,2022,15758447000000.0
OECD members,2021,13612940000000.0
OECD members,2020,10983152000000.0
OECD members,2019,11844303000000.0
OECD members,2018,12191795000000.0
OECD members,2017,11140177000000.0
OECD members,2016,10161449000000.0
OECD members,2015,10330148000000.0
OECD members,2014,11657597000000.0
OECD members,2013,11510359000000.0
OECD members,2012,11483759000000.0
OECD members,2011,11606290000000.0
OECD members,2010,9854258000000.0
OECD members,2009,8354248000000.0
OECD members,2008,11099233000000.0
OECD members,2007,9881158000000.0
OECD members,2006,8743421000000.0
OECD members,2005,7703944000000.0
OECD members,2004,6878131000000.0
OECD members,2003,5758240000000.0
OECD members,2002,4981249000000.0
OECD members,2001,4825058000000.0
OECD members,2000,5034376000000.0
OECD members,1999,4485448000000.0
OECD members,1998,4252290927787.03
OECD members,1997,4161211588284.27
OECD members,1996,4040756416557.22
OECD members,1995,3843465900083.07
OECD members,1994,3258347367684.75
OECD members,1993,2859625844335.43
OECD members,1992,2978094562538.5
OECD members,1991,2831421367124.15
OECD members,1990,2792957697095.74
OECD members,1989,2423422741453.31
OECD members,1988,2231511664842.72
OECD members,1987,1964092917410.27
OECD members,1986,1659885899076.21
OECD members,1985,1482602993233.49
OECD members,1984,1445043323110.81
OECD members,1983,1313482396201.97
OECD members,1982,1338376596167.0
OECD members,1981,1441460999852.26
OECD members,1980,1495036938386.18
OECD members,1979,1249729881313.71
OECD members,1978,976614566372.881
OECD members,1977,845085211055.623
OECD members,1976,747809980222.062
OECD members,1975,653457226382.916
OECD members,1974,647963769447.069
OECD members,1973,452792399812.102
OECD members,1972,328927574545.376
OECD members,1971,276852338998.147
OECD members,1970,249449249888.466
OECD members,1969,216077025196.386
OECD members,1968,188490820855.511
OECD members,1967,167626208363.152
OECD members,1966,159430223187.6
OECD members,1965,144085377290.744
OECD members,1964,131611441455.38
OECD members,1963,117367391718.465
OECD members,1962,107016119224.021
OECD members,1961,99380003605.9162
OECD members,1960,94439049522.812
Other small states,2022,171855765394.232
Other small states,2021,154068945690.949
Other small states,2020,121528725354.226
Other small states,2019,135485532688.781
Other small states,2018,144718213268.878
Other small states,2017,129229811601.934
Other small states,2016,121661148724.787
Other small states,2015,123209167661.277
Other small states,2014,134270111985.331
Other small states,2013,124256236172.695
Other small states,2012,130535567627.938
Other small states,2011,122125143790.632
Other small states,2010,106535114885.814
Other small states,2009,98410068544.7574
Other small states,2008,120215783563.927
Other small states,2007,103198867177.863
Other small states,2006,84028274579.0965
Other small states,2005,67638276811.7563
Other small states,2004,55620135307.9797
Other small states,2003,46308280998.8232
Other small states,2002,38089577531.7392
Other small states,2001,35780799113.2016
Other small states,2000,36373792840.2256
Other small states,1999,33362480112.7627
Other small states,1998,34992949543.3722
Other small states,1997,35554345025.617
Other small states,1996,34166128804.9817
Other small states,1995,31764662201.7584
Other small states,1994,26434038307.4982
Other small states,1993,24508651925.6156
Other small states,1992,25391296229.7828
Other small states,1991,23344561652.9149
Other small states,1990,22250469504.7567
Other small states,1989,18813884275.4293
Other small states,1988,17200071567.1764
Other small states,1987,15444809139.475
Other small states,1986,12955508394.9388
Other small states,1985,12556877367.4022
Other small states,1984,13424864282.1996
Other small states,1983,13703477365.9617
Other small states,1982,15106187083.8256
Other small states,1981,15623764466.353
Other small states,1980,14560748392.9221
Other small states,1979,11651421020.6002
Other small states,1978,9505292300.1122
Other small states,1977,8817355148.61329
Other small states,1976,6918178226.09923
Other small states,1975,5606981774.95175
Other small states,1974,5037816678.66889
Other small states,1973,3362072335.27413
Other small states,1972,2408368010.71753
Other small states,1971,2229621947.42209
Other small states,1970,1654577046.42557
Other small states,1969,1469951178.41646
Other small states,1968,1335891630.94488
Other small states,1967,1397041599.967
Other small states,1966,1285325310.40735
Other small states,1965,1195952278.75963
Other small states,1964,1068948496.94445
Other small states,1963,1013678332.63599
Other small states,1962,961936051.155732
Other small states,1961,898434160.248141
Other small states,1960,886674550.820809
Pacific island small states,2022,5563000000.0
Pacific island small states,2021,4348000000.0
Pacific island small states,2020,3707000000.0
Pacific island small states,2019,5034000000.0
Pacific island small states,2018,4947000000.0
Pacific island small states,2017,4605000000.0
Pacific island small states,2016,4419000000.0
Pacific island small states,2015,4157000000.0
Pacific island small states,2014,5374000000.0
Pacific island small states,2013,4968395817.49049
Pacific island small states,2012,4276723193.91635
Pacific island small states,2011,4147992395.43726
Pacific island small states,2010,3561552091.25475
Pacific island small states,2009,2887247908.74525
Pacific island small states,2008,3931397718.63118
Pacific island small states,2007,3244833460.07605
Pacific island small states,2006,3113037642.58555
Pacific island small states,2005,2775885551.3308
Pacific island small states,2004,2456101901.14068
Pacific island small states,2003,2032107604.56274
Pacific island small states,2002,1643871863.11787
Pacific island small states,2001,1624460076.04563
Pacific island small states,2000,1550899619.77186
Pacific island small states,1999,1632633460.07605
Pacific island small states,1998,1411952091.25475
Pacific island small states,1997,1710280608.36502
Pacific island small states,1996,1727649049.42966
Pacific island small states,1995,1604026615.96958
Pacific island small states,1994,1495729277.56654
Pacific island small states,1993,1373714793.6019
Pacific island small states,1992,1262218799.63421
Pacific island small states,1991,1235922574.64183
Pacific island small states,1990,1321122343.61714
Pacific island small states,1989,1093922959.68298
Pacific island small states,1988,938249307.728097
Pacific island small states,1987,786229166.729114
Pacific island small states,1986,795730425.541551
Pacific island small states,1985,837298432.84596
Pacific island small states,1984,844424376.955287
Pacific island small states,1983,861051579.877051
Pacific island small states,1982,889555356.314361
Pacific island small states,1981,1060578014.93822
Pacific island small states,1980,1003570462.0636
Pacific island small states,1979,856793807.088779
Pacific island small states,1978,643192008.385588
Pacific island small states,1977,539374374.379009
Pacific island small states,1976,453456332.442529
Pacific island small states,1975,479709067.478676
Pacific island small states,1974,482095679.754689
Pacific island small states,1973,383051270.300137
Pacific island small states,1972,285200166.983591
Pacific island small states,1971,223148247.807245
Pacific island small states,1970,183769145.253025
Pacific island small states,1969,156323104.078872
Pacific island small states,1968,143196736.560799
Pacific island small states,1967,131263675.180732
Pacific island small states,1966,118137307.662659
Pacific island small states,1965,125297144.490699
Pacific island small states,1964,121717226.076679
Pacific island small states,1963,93077878.7645192
Pacific island small states,1962,84724735.7984726
Pacific island small states,1961,82338123.5224593
Pacific island small states,1960,79951511.246446
Post-demographic dividend,2022,15144677640112.1
Post-demographic dividend,2021,13294072000000.0
Post-demographic dividend,2020,10781154000000.0
Post-demographic dividend,2019,11595277000000.0
Post-demographic dividend,2018,11949521000000.0
Post-demographic dividend,2017,10920722000000.0
Post-demographic dividend,2016,9970066000000.0
Post-demographic dividend,2015,10148122000000.0
Post-demographic dividend,2014,11515675000000.0
Post-demographic dividend,2013,11442486000000.0
Post-demographic dividend,2012,11417933000000.0
Post-demographic dividend,2011,11492448000000.0
Post-demographic dividend,2010,9780718000000.0
Post-demographic dividend,2009,8292635000000.0
Post-demographic dividend,2008,10938183000000.0
Post-demographic dividend,2007,9735733000000.0
Post-demographic dividend,2006,8656667000000.0
Post-demographic dividend,2005,7636846000000.0
Post-demographic dividend,2004,6829389000000.0
Post-demographic dividend,2003,5722650000000.0
Post-demographic dividend,2002,4931941000000.0
Post-demographic dividend,2001,4785350000000.0
Post-demographic dividend,2000,5003786000000.0
Post-demographic dividend,1999,4457065000000.0
Post-demographic dividend,1998,4231732691695.96
Post-demographic dividend,1997,4228216835957.04
Post-demographic dividend,1996,4131870728188.05
Post-demographic dividend,1995,3963940464943.42
Post-demographic dividend,1994,3345884884253.51
Post-demographic dividend,1993,2923139931059.93
Post-demographic dividend,1992,3029584046157.41
Post-demographic dividend,1991,2875187827123.23
Post-demographic dividend,1990,2829780588497.54
Post-demographic dividend,1989,2476717411826.73
Post-demographic dividend,1988,2281972803852.47
Post-demographic dividend,1987,1996504469789.31
Post-demographic dividend,1986,1681819537635.76
Post-demographic dividend,1985,1498230991170.93
Post-demographic dividend,1984,1464482111186.57
Post-demographic dividend,1983,1331144382833.65
Post-demographic dividend,1982,1348255197946.72
Post-demographic dividend,1981,1429467991157.78
Post-demographic dividend,1980,1480193670003.63
Post-demographic dividend,1979,1240278198524.57
Post-demographic dividend,1978,968564997054.624
Post-demographic dividend,1977,836596978107.605
Post-demographic dividend,1976,738659589847.081
Post-demographic dividend,1975,642277634301.739
Post-demographic dividend,1974,637430889077.295
Post-demographic dividend,1973,446127438555.004
Post-demographic dividend,1972,324374201618.133
Post-demographic dividend,1971,273094518582.683
Post-demographic dividend,1970,245685557019.502
Post-demographic dividend,1969,213036243445.742
Post-demographic dividend,1968,185818281422.214
Post-demographic dividend,1967,165418264292.029
Post-demographic dividend,1966,156870771081.058
Post-demographic dividend,1965,141574979217.721
Post-demographic dividend,1964,129269754732.148
Post-demographic dividend,1963,115416484253.922
Post-demographic dividend,1962,104922062033.785
Post-demographic dividend,1961,97307406353.493
Post-demographic dividend,1960,92767737736.9994
Pre-demographic dividend,2022,357995288962.479
Pre-demographic dividend,2021,275295287847.186
Pre-demographic dividend,2020,235640707387.75
Pre-demographic dividend,2019,289517814678.831
Pre-demographic dividend,2018,263459155907.11
Pre-demographic dividend,2017,229358926263.265
Pre-demographic dividend,2016,223912488373.419
Pre-demographic dividend,2015,272338095088.382
Pre-demographic dividend,2014,320387037944.818
Pre-demographic dividend,2013,309265328745.697
Pre-demographic dividend,2012,284792303313.909
Pre-demographic dividend,2011,258662766934.401
Pre-demographic dividend,2010,215708911540.636
Pre-demographic dividend,2009,192622049609.722
Pre-demographic dividend,2008,208951237906.72
Pre-demographic dividend,2007,154796695408.014
Pre-demographic dividend,2006,123845456624.444
Pre-demographic dividend,2005,111080399461.906
Pre-demographic dividend,2004,88264897515.0929
Pre-demographic dividend,2003,63815160440.1497
Pre-demographic dividend,2002,53102695793.8805
Pre-demographic dividend,2001,57398639657.5198
Pre-demographic dividend,2000,51584809157.1293
Pre-demographic dividend,1999,48614986840.4377
Pre-demographic dividend,1998,43787376801.8936
Pre-demographic dividend,1997,42127441950.4732
Pre-demographic dividend,1996,38246481799.689
Pre-demographic dividend,1995,34328994965.1327
Pre-demographic dividend,1994,28071771108.9533
Pre-demographic dividend,1993,28767807360.8326
Pre-demographic dividend,1992,30767643297.3543
Pre-demographic dividend,1991,30747113057.9406
Pre-demographic dividend,1990,35397212285.1456
Pre-demographic dividend,1989,36215342325.7819
Pre-demographic dividend,1988,36526375452.8995
Pre-demographic dividend,1987,32310490789.2945
Pre-demographic dividend,1986,33617240527.977
Pre-demographic dividend,1985,37606266046.0606
Pre-demographic dividend,1984,38197536941.1754
Pre-demographic dividend,1983,42878431527.501
Pre-demographic dividend,1982,58592276774.7535
Pre-demographic dividend,1981,64781117446.0159
Pre-demographic dividend,1980,54810606674.7484
Pre-demographic dividend,1979,35290455040.1943
Pre-demographic dividend,1978,33333923224.0679
Pre-demographic dividend,1977,28044307039.1259
Pre-demographic dividend,1976,22674622920.4704
Pre-demographic dividend,1975,21226214529.8333
Pre-demographic dividend,1974,14899821254.499
Pre-demographic dividend,1973,10057764288.7758
Pre-demographic dividend,1972,8052986410.02717
Pre-demographic dividend,1971,7842551456.03666
Pre-demographic dividend,1970,6457786807.58202
Pre-demographic dividend,1969,5447699028.42756
Pre-demographic dividend,1968,5025802608.47585
Pre-demographic dividend,1967,4848216037.54727
Pre-demographic dividend,1966,4791757879.15957
Pre-demographic dividend,1965,4515626159.04519
Pre-demographic dividend,1964,4194327912.22065
Pre-demographic dividend,1963,3693390070.52616
Pre-demographic dividend,1962,3596897945.28173
Pre-demographic dividend,1961,3714946821.91056
