Country,Year,Net migration
IDA total,2002,-1253910.0
IDA total,2001,-1300508.0
IDA total,2000,-1750113.0
IDA total,1999,-1618602.0
IDA total,1998,-1597989.0
IDA total,1997,-1611662.0
IDA total,1996,-1327284.0
IDA total,1995,-714047.0
IDA total,1994,-764357.0
IDA total,1993,125996.0
IDA total,1992,-559132.0
IDA total,1991,-1283088.0
IDA total,1990,-1915533.0
IDA total,1989,-1096966.0
IDA total,1988,-1274339.0
IDA total,1987,-1001592.0
IDA total,1986,-1116182.0
IDA total,1985,-743906.0
IDA total,1984,-838776.0
IDA total,1983,-1116907.0
IDA total,1982,-455484.0
IDA total,1981,-1446084.0
IDA total,1980,-1500179.0
IDA total,1979,-740848.0
IDA total,1978,-422673.0
IDA total,1977,-1251689.0
IDA total,1976,-1114075.0
IDA total,1975,-788483.0
IDA total,1974,-600701.0
IDA total,1973,-749384.0
IDA total,1972,-863890.0
IDA total,1971,-822090.0
IDA total,1970,-551596.0
IDA total,1969,-273735.0
IDA total,1968,-71542.0
IDA total,1967,-27772.0
IDA total,1966,-106500.0
IDA total,1965,-38054.0
IDA total,1964,-95292.0
IDA total,1963,-158383.0
IDA total,1962,-167713.0
IDA total,1961,-154661.0
IDA total,1960,-73295.0
Late-demographic dividend,2022,
Late-demographic dividend,2021,60109.0
Late-demographic dividend,2020,-128646.0
Late-demographic dividend,2019,45880.0
Late-demographic dividend,2018,433752.0
Late-demographic dividend,2017,494417.0
Late-demographic dividend,2016,152609.0
Late-demographic dividend,2015,174084.0
Late-demographic dividend,2014,164919.0
Late-demographic dividend,2013,999874.0
Late-demographic dividend,2012,483627.0
Late-demographic dividend,2011,406473.0
Late-demographic dividend,2010,-1789.0
Late-demographic dividend,2009,676814.0
Late-demographic dividend,2008,805398.0
Late-demographic dividend,2007,954960.0
Late-demographic dividend,2006,588161.0
Late-demographic dividend,2005,-132851.0
Late-demographic dividend,2004,-305339.0
Late-demographic dividend,2003,-524763.0
Late-demographic dividend,2002,-425778.0
Late-demographic dividend,2001,-493410.0
Late-demographic dividend,2000,-252503.0
Late-demographic dividend,1999,-450172.0
Late-demographic dividend,1998,-712985.0
Late-demographic dividend,1997,-799035.0
Late-demographic dividend,1996,-877844.0
Late-demographic dividend,1995,-963875.0
Late-demographic dividend,1994,-972336.0
Late-demographic dividend,1993,-1067330.0
Late-demographic dividend,1992,-1305174.0
Late-demographic dividend,1991,-790604.0
Late-demographic dividend,1990,-1633001.0
Late-demographic dividend,1989,-885656.0
Late-demographic dividend,1988,-250091.0
Late-demographic dividend,1987,-93325.0
Late-demographic dividend,1986,35165.0
Late-demographic dividend,1985,-55253.0
Late-demographic dividend,1984,-138027.0
Late-demographic dividend,1983,-40234.0
Late-demographic dividend,1982,-234537.0
Late-demographic dividend,1981,-293857.0
Late-demographic dividend,1980,-136282.0
Late-demographic dividend,1979,-437751.0
Late-demographic dividend,1978,-646053.0
Late-demographic dividend,1977,153252.0
Late-demographic dividend,1976,672516.0
Late-demographic dividend,1975,-123085.0
Late-demographic dividend,1974,-341338.0
Late-demographic dividend,1973,-401737.0
Late-demographic dividend,1972,-402738.0
Late-demographic dividend,1971,-372056.0
Late-demographic dividend,1970,-523078.0
Late-demographic dividend,1969,-217426.0
Late-demographic dividend,1968,-317821.0
Late-demographic dividend,1967,-322051.0
Late-demographic dividend,1966,-224221.0
Late-demographic dividend,1965,-337765.0
Late-demographic dividend,1964,-447596.0
Late-demographic dividend,1963,-502558.0
Late-demographic dividend,1962,-460803.0
Late-demographic dividend,1961,-373030.0
Late-demographic dividend,1960,-343056.0
Latin America & Caribbean,2022,
Latin America & Caribbean,2021,-273494.0
Latin America & Caribbean,2020,-163087.0
Latin America & Caribbean,2019,-424522.0
Latin America & Caribbean,2018,-338149.0
Latin America & Caribbean,2017,-281608.0
Latin America & Caribbean,2016,-139806.0
Latin America & Caribbean,2015,-424043.0
Latin America & Caribbean,2014,-494419.0
Latin America & Caribbean,2013,-535370.0
Latin America & Caribbean,2012,-488483.0
Latin America & Caribbean,2011,-495889.0
Latin America & Caribbean,2010,-590240.0
Latin America & Caribbean,2009,-958488.0
Latin America & Caribbean,2008,-1032747.0
Latin America & Caribbean,2007,-998162.0
Latin America & Caribbean,2006,-1021265.0
Latin America & Caribbean,2005,-1043018.0
Latin America & Caribbean,2004,-922857.0
Latin America & Caribbean,2003,-1001536.0
Latin America & Caribbean,2002,-947054.0
Latin America & Caribbean,2001,-949876.0
Latin America & Caribbean,2000,-933168.0
Latin America & Caribbean,1999,-870278.0
Latin America & Caribbean,1998,-798462.0
Latin America & Caribbean,1997,-802462.0
Latin America & Caribbean,1996,-814722.0
Latin America & Caribbean,1995,-812708.0
Latin America & Caribbean,1994,-727304.0
Latin America & Caribbean,1993,-799413.0
Latin America & Caribbean,1992,-736813.0
Latin America & Caribbean,1991,-789362.0
Latin America & Caribbean,1990,-635393.0
Latin America & Caribbean,1989,-957281.0
Latin America & Caribbean,1988,-934047.0
Latin America & Caribbean,1987,-1010049.0
Latin America & Caribbean,1986,-1032454.0
Latin America & Caribbean,1985,-927596.0
Latin America & Caribbean,1984,-883903.0
Latin America & Caribbean,1983,-808712.0
Latin America & Caribbean,1982,-860686.0
Latin America & Caribbean,1981,-921578.0
Latin America & Caribbean,1980,-631207.0
Latin America & Caribbean,1979,-461914.0
Latin America & Caribbean,1978,-452263.0
Latin America & Caribbean,1977,-429505.0
Latin America & Caribbean,1976,-600291.0
Latin America & Caribbean,1975,-536851.0
Latin America & Caribbean,1974,-501700.0
Latin America & Caribbean,1973,-487163.0
Latin America & Caribbean,1972,-488804.0
Latin America & Caribbean,1971,-476929.0
Latin America & Caribbean,1970,-412262.0
Latin America & Caribbean,1969,-420707.0
Latin America & Caribbean,1968,-401322.0
Latin America & Caribbean,1967,-368442.0
Latin America & Caribbean,1966,-375662.0
Latin America & Caribbean,1965,-314347.0
Latin America & Caribbean,1964,-320507.0
Latin America & Caribbean,1963,-310437.0
Latin America & Caribbean,1962,-285849.0
Latin America & Caribbean,1961,-253994.0
Latin America & Caribbean,1960,-240354.0
Latin America & Caribbean (excluding high income),2022,
Latin America & Caribbean (excluding high income),2021,141522.0
Latin America & Caribbean (excluding high income),2020,261813.0
Latin America & Caribbean (excluding high income),2019,380712.0
Latin America & Caribbean (excluding high income),2018,696616.0
Latin America & Caribbean (excluding high income),2017,377456.0
Latin America & Caribbean (excluding high income),2016,78679.0
Latin America & Caribbean (excluding high income),2015,-339557.0
Latin America & Caribbean (excluding high income),2014,-417951.0
Latin America & Caribbean (excluding high income),2013,-458340.0
Latin America & Caribbean (excluding high income),2012,-416369.0
Latin America & Caribbean (excluding high income),2011,-416902.0
Latin America & Caribbean (excluding high income),2010,-514668.0
Latin America & Caribbean (excluding high income),2009,-888412.0
Latin America & Caribbean (excluding high income),2008,-964656.0
Latin America & Caribbean (excluding high income),2007,-932208.0
Latin America & Caribbean (excluding high income),2006,-957924.0
Latin America & Caribbean (excluding high income),2005,-981496.0
Latin America & Caribbean (excluding high income),2004,-866736.0
Latin America & Caribbean (excluding high income),2003,-949656.0
Latin America & Caribbean (excluding high income),2002,-895319.0
Latin America & Caribbean (excluding high income),2001,-897433.0
Latin America & Caribbean (excluding high income),2000,-887172.0
Latin America & Caribbean (excluding high income),1999,-841692.0
Latin America & Caribbean (excluding high income),1998,-768336.0
Latin America & Caribbean (excluding high income),1997,-768053.0
Latin America & Caribbean (excluding high income),1996,-781048.0
Latin America & Caribbean (excluding high income),1995,-778168.0
Latin America & Caribbean (excluding high income),1994,-692125.0
Latin America & Caribbean (excluding high income),1993,-763790.0
Latin America & Caribbean (excluding high income),1992,-702067.0
Latin America & Caribbean (excluding high income),1991,-751994.0
Latin America & Caribbean (excluding high income),1990,-580828.0
Latin America & Caribbean (excluding high income),1989,-888986.0
Latin America & Caribbean (excluding high income),1988,-862231.0
Latin America & Caribbean (excluding high income),1987,-933934.0
Latin America & Caribbean (excluding high income),1986,-951833.0
Latin America & Caribbean (excluding high income),1985,-846012.0
Latin America & Caribbean (excluding high income),1984,-797083.0
Latin America & Caribbean (excluding high income),1983,-719864.0
Latin America & Caribbean (excluding high income),1982,-770690.0
Latin America & Caribbean (excluding high income),1981,-831260.0
Latin America & Caribbean (excluding high income),1980,-546004.0
Latin America & Caribbean (excluding high income),1979,-385025.0
Latin America & Caribbean (excluding high income),1978,-375536.0
Latin America & Caribbean (excluding high income),1977,-355369.0
Latin America & Caribbean (excluding high income),1976,-529048.0
Latin America & Caribbean (excluding high income),1975,-468359.0
Latin America & Caribbean (excluding high income),1974,-430464.0
Latin America & Caribbean (excluding high income),1973,-415474.0
Latin America & Caribbean (excluding high income),1972,-416314.0
Latin America & Caribbean (excluding high income),1971,-400672.0
Latin America & Caribbean (excluding high income),1970,-331675.0
Latin America & Caribbean (excluding high income),1969,-328396.0
Latin America & Caribbean (excluding high income),1968,-313639.0
Latin America & Caribbean (excluding high income),1967,-282565.0
Latin America & Caribbean (excluding high income),1966,-291669.0
Latin America & Caribbean (excluding high income),1965,-233130.0
Latin America & Caribbean (excluding high income),1964,-245935.0
Latin America & Caribbean (excluding high income),1963,-237438.0
Latin America & Caribbean (excluding high income),1962,-223092.0
Latin America & Caribbean (excluding high income),1961,-197399.0
Latin America & Caribbean (excluding high income),1960,-181634.0
Latin America & the Caribbean (IDA & IBRD countries),2022,
Latin America & the Caribbean (IDA & IBRD countries),2021,-260604.0
Latin America & the Caribbean (IDA & IBRD countries),2020,-150854.0
Latin America & the Caribbean (IDA & IBRD countries),2019,-388296.0
Latin America & the Caribbean (IDA & IBRD countries),2018,-335008.0
Latin America & the Caribbean (IDA & IBRD countries),2017,-207999.0
Latin America & the Caribbean (IDA & IBRD countries),2016,-63654.0
Latin America & the Caribbean (IDA & IBRD countries),2015,-349643.0
Latin America & the Caribbean (IDA & IBRD countries),2014,-418542.0
Latin America & the Caribbean (IDA & IBRD countries),2013,-471760.0
Latin America & the Caribbean (IDA & IBRD countries),2012,-431934.0
Latin America & the Caribbean (IDA & IBRD countries),2011,-431889.0
Latin America & the Caribbean (IDA & IBRD countries),2010,-532835.0
Latin America & the Caribbean (IDA & IBRD countries),2009,-904804.0
Latin America & the Caribbean (IDA & IBRD countries),2008,-983347.0
Latin America & the Caribbean (IDA & IBRD countries),2007,-957240.0
Latin America & the Caribbean (IDA & IBRD countries),2006,-984328.0
Latin America & the Caribbean (IDA & IBRD countries),2005,-1002451.0
Latin America & the Caribbean (IDA & IBRD countries),2004,-880840.0
Latin America & the Caribbean (IDA & IBRD countries),2003,-956510.0
Latin America & the Caribbean (IDA & IBRD countries),2002,-897925.0
Latin America & the Caribbean (IDA & IBRD countries),2001,-900177.0
Latin America & the Caribbean (IDA & IBRD countries),2000,-884758.0
Latin America & the Caribbean (IDA & IBRD countries),1999,-831172.0
Latin America & the Caribbean (IDA & IBRD countries),1998,-757041.0
Latin America & the Caribbean (IDA & IBRD countries),1997,-755686.0
Latin America & the Caribbean (IDA & IBRD countries),1996,-779070.0
Latin America & the Caribbean (IDA & IBRD countries),1995,-774004.0
Latin America & the Caribbean (IDA & IBRD countries),1994,-689675.0
Latin America & the Caribbean (IDA & IBRD countries),1993,-765068.0
Latin America & the Caribbean (IDA & IBRD countries),1992,-707802.0
Latin America & the Caribbean (IDA & IBRD countries),1991,-764501.0
Latin America & the Caribbean (IDA & IBRD countries),1990,-610598.0
Latin America & the Caribbean (IDA & IBRD countries),1989,-923917.0
Latin America & the Caribbean (IDA & IBRD countries),1988,-900055.0
Latin America & the Caribbean (IDA & IBRD countries),1987,-974553.0
Latin America & the Caribbean (IDA & IBRD countries),1986,-996584.0
Latin America & the Caribbean (IDA & IBRD countries),1985,-894465.0
Latin America & the Caribbean (IDA & IBRD countries),1984,-853213.0
Latin America & the Caribbean (IDA & IBRD countries),1983,-777274.0
Latin America & the Caribbean (IDA & IBRD countries),1982,-827784.0
Latin America & the Caribbean (IDA & IBRD countries),1981,-886641.0
Latin America & the Caribbean (IDA & IBRD countries),1980,-577219.0
Latin America & the Caribbean (IDA & IBRD countries),1979,-413051.0
Latin America & the Caribbean (IDA & IBRD countries),1978,-405938.0
Latin America & the Caribbean (IDA & IBRD countries),1977,-375978.0
Latin America & the Caribbean (IDA & IBRD countries),1976,-544356.0
Latin America & the Caribbean (IDA & IBRD countries),1975,-478755.0
Latin America & the Caribbean (IDA & IBRD countries),1974,-436270.0
Latin America & the Caribbean (IDA & IBRD countries),1973,-419958.0
Latin America & the Caribbean (IDA & IBRD countries),1972,-423617.0
Latin America & the Caribbean (IDA & IBRD countries),1971,-420398.0
Latin America & the Caribbean (IDA & IBRD countries),1970,-359175.0
Latin America & the Caribbean (IDA & IBRD countries),1969,-352571.0
Latin America & the Caribbean (IDA & IBRD countries),1968,-333428.0
Latin America & the Caribbean (IDA & IBRD countries),1967,-298752.0
Latin America & the Caribbean (IDA & IBRD countries),1966,-304429.0
Latin America & the Caribbean (IDA & IBRD countries),1965,-242521.0
Latin America & the Caribbean (IDA & IBRD countries),1964,-252140.0
Latin America & the Caribbean (IDA & IBRD countries),1963,-241556.0
Latin America & the Caribbean (IDA & IBRD countries),1962,-226212.0
Latin America & the Caribbean (IDA & IBRD countries),1961,-201265.0
Latin America & the Caribbean (IDA & IBRD countries),1960,-184590.0
Least developed countries: UN classification,2022,
Least developed countries: UN classification,2021,-521774.0
Least developed countries: UN classification,2020,96673.0
Least developed countries: UN classification,2019,-926233.0
Least developed countries: UN classification,2018,-1047507.0
Least developed countries: UN classification,2017,-891458.0
Least developed countries: UN classification,2016,-476043.0
Least developed countries: UN classification,2015,-1333824.0
Least developed countries: UN classification,2014,-1135712.0
Least developed countries: UN classification,2013,-970114.0
Least developed countries: UN classification,2012,-1251611.0
Least developed countries: UN classification,2011,-1132353.0
Least developed countries: UN classification,2010,-1589896.0
Least developed countries: UN classification,2009,-1935416.0
Least developed countries: UN classification,2008,-2159896.0
Least developed countries: UN classification,2007,-2646320.0
Least developed countries: UN classification,2006,-1994614.0
Least developed countries: UN classification,2005,-1249137.0
Least developed countries: UN classification,2004,-1609554.0
Least developed countries: UN classification,2003,-1040422.0
Least developed countries: UN classification,2002,22654.0
Least developed countries: UN classification,2001,-1307432.0
Least developed countries: UN classification,2000,-2262999.0
Least developed countries: UN classification,1999,-1077135.0
Least developed countries: UN classification,1998,-1039633.0
Least developed countries: UN classification,1997,-1359542.0
Least developed countries: UN classification,1996,-1147501.0
Least developed countries: UN classification,1995,-684906.0
Least developed countries: UN classification,1994,-129193.0
Least developed countries: UN classification,1993,672870.0
Least developed countries: UN classification,1992,1064477.0
Least developed countries: UN classification,1991,-978562.0
Least developed countries: UN classification,1990,-1706161.0
Least developed countries: UN classification,1989,-921643.0
Least developed countries: UN classification,1988,-1162873.0
Least developed countries: UN classification,1987,-994179.0
Least developed countries: UN classification,1986,-897722.0
Least developed countries: UN classification,1985,-599206.0
Least developed countries: UN classification,1984,-100806.0
Least developed countries: UN classification,1983,-321322.0
Least developed countries: UN classification,1982,-623941.0
Least developed countries: UN classification,1981,-2203895.0
Least developed countries: UN classification,1980,-2876124.0
Least developed countries: UN classification,1979,-961832.0
Least developed countries: UN classification,1978,-246200.0
Least developed countries: UN classification,1977,-1166290.0
Least developed countries: UN classification,1976,-958726.0
Least developed countries: UN classification,1975,-691554.0
Least developed countries: UN classification,1974,-439339.0
Least developed countries: UN classification,1973,-508280.0
Least developed countries: UN classification,1972,-595742.0
Least developed countries: UN classification,1971,-557498.0
Least developed countries: UN classification,1970,-445488.0
Least developed countries: UN classification,1969,-251978.0
Least developed countries: UN classification,1968,-91024.0
Least developed countries: UN classification,1967,-61063.0
Least developed countries: UN classification,1966,-118928.0
Least developed countries: UN classification,1965,-58390.0
Least developed countries: UN classification,1964,-79174.0
Least developed countries: UN classification,1963,-123966.0
Least developed countries: UN classification,1962,-123991.0
Least developed countries: UN classification,1961,-91295.0
Least developed countries: UN classification,1960,-166554.0
Low & middle income,2022,
Low & middle income,2021,-1600633.0
Low & middle income,2020,-265885.0
Low & middle income,2019,-3109548.0
Low & middle income,2018,-3000791.0
Low & middle income,2017,-3476694.0
Low & middle income,2016,-3685591.0
Low & middle income,2015,-3848719.0
Low & middle income,2014,-3363111.0
Low & middle income,2013,-3668825.0
Low & middle income,2012,-3900536.0
Low & middle income,2011,-3893393.0
Low & middle income,2010,-3451802.0
Low & middle income,2009,-4527022.0
Low & middle income,2008,-5394735.0
Low & middle income,2007,-5794359.0
Low & middle income,2006,-4997485.0
Low & middle income,2005,-4243223.0
Low & middle income,2004,-3546303.0
Low & middle income,2003,-3429817.0
Low & middle income,2002,-3341082.0
Low & middle income,2001,-2736042.0
Low & middle income,2000,-3026697.0
Low & middle income,1999,-2794756.0
Low & middle income,1998,-2848224.0
Low & middle income,1997,-2891733.0
Low & middle income,1996,-2855158.0
Low & middle income,1995,-2533275.0
Low & middle income,1994,-2681367.0
Low & middle income,1993,-2694063.0
Low & middle income,1992,-2890745.0
Low & middle income,1991,-3185050.0
Low & middle income,1990,-1590838.0
Low & middle income,1989,-2323478.0
Low & middle income,1988,-2025344.0
Low & middle income,1987,-1895260.0
Low & middle income,1986,-1756351.0
Low & middle income,1985,-1544616.0
Low & middle income,1984,-1338054.0
Low & middle income,1983,-1360548.0
Low & middle income,1982,-1186486.0
Low & middle income,1981,-1245158.0
Low & middle income,1980,-1817787.0
Low & middle income,1979,-1444943.0
Low & middle income,1978,-1442331.0
Low & middle income,1977,-1427980.0
Low & middle income,1976,-1301917.0
Low & middle income,1975,-1413406.0
Low & middle income,1974,-1708797.0
Low & middle income,1973,-1784764.0
Low & middle income,1972,-1851579.0
Low & middle income,1971,-1938280.0
Low & middle income,1970,-1524149.0
Low & middle income,1969,-999658.0
Low & middle income,1968,-755413.0
Low & middle income,1967,-642940.0
Low & middle income,1966,-853298.0
Low & middle income,1965,-829497.0
Low & middle income,1964,-764002.0
Low & middle income,1963,-844901.0
Low & middle income,1962,-759977.0
Low & middle income,1961,-662817.0
Low & middle income,1960,-560590.0
Low income,2022,
Low income,2021,-343175.0
Low income,2020,272582.0
Low income,2019,211518.0
Low income,2018,98978.0
Low income,2017,-889608.0
Low income,2016,-467727.0
Low income,2015,-1696194.0
Low income,2014,-1894141.0
Low income,2013,-2338520.0
Low income,2012,-1460680.0
Low income,2011,-473592.0
Low income,2010,-585838.0
Low income,2009,-394395.0
Low income,2008,-443572.0
Low income,2007,-276669.0
Low income,2006,521584.0
Low income,2005,126174.0
Low income,2004,-407758.0
Low income,2003,74137.0
Low income,2002,1002568.0
Low income,2001,-350732.0
Low income,2000,-1423135.0
Low income,1999,-296135.0
Low income,1998,-226209.0
Low income,1997,-592863.0
Low income,1996,6444.0
Low income,1995,115791.0
Low income,1994,10615.0
Low income,1993,464857.0
Low income,1992,1320890.0
Low income,1991,-503171.0
Low income,1990,-1546998.0
Low income,1989,-527461.0
Low income,1988,-666890.0
Low income,1987,-670303.0
Low income,1986,-572324.0
Low income,1985,-448788.0
Low income,1984,130124.0
Low income,1983,-363368.0
Low income,1982,-369588.0
Low income,1981,-1938833.0
Low income,1980,-2263561.0
Low income,1979,-494918.0
Low income,1978,398625.0
Low income,1977,-602653.0
Low income,1976,-214543.0
Low income,1975,-127358.0
Low income,1974,-33889.0
Low income,1973,-148839.0
Low income,1972,-299715.0
Low income,1971,-210276.0
Low income,1970,-71306.0
Low income,1969,-82425.0
Low income,1968,-10990.0
Low income,1967,8349.0
Low income,1966,-25663.0
Low income,1965,-34726.0
Low income,1964,-45176.0
Low income,1963,-89815.0
Low income,1962,-96877.0
Low income,1961,-69706.0
Low income,1960,-119820.0
Lower middle income,2022,
Lower middle income,2021,-1371123.0
Lower middle income,2020,-1135079.0
Lower middle income,2019,-3402110.0
Lower middle income,2018,-3521947.0
Lower middle income,2017,-2837917.0
Lower middle income,2016,-2969756.0
Lower middle income,2015,-2966056.0
Lower middle income,2014,-2066375.0
Lower middle income,2013,-1958979.0
Lower middle income,2012,-3307180.0
Lower middle income,2011,-2662332.0
Lower middle income,2010,-2542014.0
Lower middle income,2009,-3446667.0
Lower middle income,2008,-4271640.0
Lower middle income,2007,-3686954.0
Lower middle income,2006,-3215323.0
Lower middle income,2005,-3261450.0
Lower middle income,2004,-2301690.0
Lower middle income,2003,-2393955.0
Lower middle income,2002,-3458322.0
Lower middle income,2001,-1294021.0
Lower middle income,2000,-538744.0
Lower middle income,1999,-1255706.0
Lower middle income,1998,-1002559.0
Lower middle income,1997,-942784.0
Lower middle income,1996,-1528118.0
Lower middle income,1995,-1328757.0
Lower middle income,1994,-1337418.0
Lower middle income,1993,-2187252.0
Lower middle income,1992,-2102113.0
Lower middle income,1991,-920422.0
Lower middle income,1990,1025344.0
Lower middle income,1989,-723420.0
Lower middle income,1988,-891398.0
Lower middle income,1987,-797539.0
Lower middle income,1986,-906576.0
Lower middle income,1985,-474255.0
Lower middle income,1984,-1080317.0
Lower middle income,1983,-770280.0
Lower middle income,1982,-287056.0
Lower middle income,1981,1605083.0
Lower middle income,1980,920995.0
Lower middle income,1979,-588672.0
Lower middle income,1978,-1701735.0
Lower middle income,1977,-776000.0
Lower middle income,1976,-615345.0
Lower middle income,1975,-769431.0
Lower middle income,1974,-1041459.0
Lower middle income,1973,-923543.0
Lower middle income,1972,-832311.0
Lower middle income,1971,-985872.0
Lower middle income,1970,-818199.0
Lower middle income,1969,-634753.0
Lower middle income,1968,-473609.0
Lower middle income,1967,-372034.0
Lower middle income,1966,-452548.0
Lower middle income,1965,-326915.0
Lower middle income,1964,-355527.0
Lower middle income,1963,-372066.0
Lower middle income,1962,-286021.0
Lower middle income,1961,-306684.0
Lower middle income,1960,-126512.0
Middle East & North Africa,2022,
Middle East & North Africa,2021,-367806.0
Middle East & North Africa,2020,-1699850.0
Middle East & North Africa,2019,119982.0
Middle East & North Africa,2018,398806.0
Middle East & North Africa,2017,-175273.0
Middle East & North Africa,2016,-167117.0
Middle East & North Africa,2015,427751.0
Middle East & North Africa,2014,401511.0
Middle East & North Africa,2013,550874.0
Middle East & North Africa,2012,230635.0
Middle East & North Africa,2011,-344284.0
Middle East & North Africa,2010,598246.0
Middle East & North Africa,2009,1412793.0
Middle East & North Africa,2008,1757090.0
Middle East & North Africa,2007,1807308.0
Middle East & North Africa,2006,1692610.0
Middle East & North Africa,2005,1196455.0
Middle East & North Africa,2004,487930.0
Middle East & North Africa,2003,281105.0
Middle East & North Africa,2002,-465414.0
Middle East & North Africa,2001,355897.0
Middle East & North Africa,2000,452463.0
Middle East & North Africa,1999,303989.0
Middle East & North Africa,1998,306224.0
Middle East & North Africa,1997,265402.0
Middle East & North Africa,1996,44978.0
Middle East & North Africa,1995,-142826.0
Middle East & North Africa,1994,-180184.0
Middle East & North Africa,1993,-984086.0
Middle East & North Africa,1992,-11230.0
Middle East & North Africa,1991,759473.0
Middle East & North Africa,1990,-99275.0
Middle East & North Africa,1989,395819.0
Middle East & North Africa,1988,265969.0
Middle East & North Africa,1987,302823.0
Middle East & North Africa,1986,473690.0
Middle East & North Africa,1985,194098.0
Middle East & North Africa,1984,406573.0
Middle East & North Africa,1983,436132.0
Middle East & North Africa,1982,289418.0
Middle East & North Africa,1981,1441617.0
Middle East & North Africa,1980,320472.0
Middle East & North Africa,1979,204338.0
Middle East & North Africa,1978,-491307.0
Middle East & North Africa,1977,180053.0
Middle East & North Africa,1976,1050344.0
Middle East & North Africa,1975,440626.0
Middle East & North Africa,1974,72640.0
Middle East & North Africa,1973,64171.0
Middle East & North Africa,1972,27638.0
Middle East & North Africa,1971,-9733.0
Middle East & North Africa,1970,37166.0
Middle East & North Africa,1969,43767.0
Middle East & North Africa,1968,48423.0
Middle East & North Africa,1967,25171.0
Middle East & North Africa,1966,28219.0
Middle East & North Africa,1965,-46096.0
Middle East & North Africa,1964,-39488.0
Middle East & North Africa,1963,-64869.0
Middle East & North Africa,1962,-42577.0
Middle East & North Africa,1961,-96115.0
Middle East & North Africa,1960,-55509.0
Middle East & North Africa (excluding high income),2022,
Middle East & North Africa (excluding high income),2021,-140967.0
Middle East & North Africa (excluding high income),2020,-67916.0
Middle East & North Africa (excluding high income),2019,-44693.0
Middle East & North Africa (excluding high income),2018,25497.0
Middle East & North Africa (excluding high income),2017,-693065.0
Middle East & North Africa (excluding high income),2016,-543722.0
Middle East & North Africa (excluding high income),2015,-240681.0
Middle East & North Africa (excluding high income),2014,124496.0
Middle East & North Africa (excluding high income),2013,-45524.0
Middle East & North Africa (excluding high income),2012,-406374.0
Middle East & North Africa (excluding high income),2011,-957845.0
Middle East & North Africa (excluding high income),2010,-43905.0
Middle East & North Africa (excluding high income),2009,-124175.0
Middle East & North Africa (excluding high income),2008,-126142.0
Middle East & North Africa (excluding high income),2007,-91177.0
Middle East & North Africa (excluding high income),2006,54061.0
Middle East & North Africa (excluding high income),2005,133256.0
Middle East & North Africa (excluding high income),2004,266115.0
Middle East & North Africa (excluding high income),2003,78193.0
Middle East & North Africa (excluding high income),2002,-660896.0
Middle East & North Africa (excluding high income),2001,156747.0
Middle East & North Africa (excluding high income),2000,246824.0
Middle East & North Africa (excluding high income),1999,84374.0
Middle East & North Africa (excluding high income),1998,75051.0
Middle East & North Africa (excluding high income),1997,30787.0
Middle East & North Africa (excluding high income),1996,-177597.0
Middle East & North Africa (excluding high income),1995,-285098.0
Middle East & North Africa (excluding high income),1994,-285944.0
Middle East & North Africa (excluding high income),1993,-1132362.0
Middle East & North Africa (excluding high income),1992,-362162.0
Middle East & North Africa (excluding high income),1991,-35988.0
Middle East & North Africa (excluding high income),1990,743748.0
Middle East & North Africa (excluding high income),1989,14553.0
Middle East & North Africa (excluding high income),1988,-105375.0
Middle East & North Africa (excluding high income),1987,-56284.0
Middle East & North Africa (excluding high income),1986,129859.0
Middle East & North Africa (excluding high income),1985,-112905.0
Middle East & North Africa (excluding high income),1984,136655.0
Middle East & North Africa (excluding high income),1983,157107.0
Middle East & North Africa (excluding high income),1982,29273.0
Middle East & North Africa (excluding high income),1981,1194769.0
Middle East & North Africa (excluding high income),1980,30441.0
Middle East & North Africa (excluding high income),1979,-85711.0
Middle East & North Africa (excluding high income),1978,-779000.0
Middle East & North Africa (excluding high income),1977,-100888.0
Middle East & North Africa (excluding high income),1976,784990.0
Middle East & North Africa (excluding high income),1975,208947.0
Middle East & North Africa (excluding high income),1974,-164988.0
Middle East & North Africa (excluding high income),1973,-160077.0
Middle East & North Africa (excluding high income),1972,-185511.0
Middle East & North Africa (excluding high income),1971,-204967.0
Middle East & North Africa (excluding high income),1970,-143422.0
Middle East & North Africa (excluding high income),1969,-132811.0
Middle East & North Africa (excluding high income),1968,-117493.0
Middle East & North Africa (excluding high income),1967,-107968.0
Middle East & North Africa (excluding high income),1966,-95271.0
Middle East & North Africa (excluding high income),1965,-163135.0
Middle East & North Africa (excluding high income),1964,-150639.0
Middle East & North Africa (excluding high income),1963,-169333.0
Middle East & North Africa (excluding high income),1962,-138094.0
Middle East & North Africa (excluding high income),1961,-179456.0
Middle East & North Africa (excluding high income),1960,-122438.0
Middle East & North Africa (IDA & IBRD countries),2022,
Middle East & North Africa (IDA & IBRD countries),2021,-128598.0
Middle East & North Africa (IDA & IBRD countries),2020,-55547.0
Middle East & North Africa (IDA & IBRD countries),2019,-19956.0
Middle East & North Africa (IDA & IBRD countries),2018,50634.0
Middle East & North Africa (IDA & IBRD countries),2017,-667613.0
Middle East & North Africa (IDA & IBRD countries),2016,-520948.0
Middle East & North Africa (IDA & IBRD countries),2015,-217777.0
Middle East & North Africa (IDA & IBRD countries),2014,151572.0
Middle East & North Africa (IDA & IBRD countries),2013,-18548.0
Middle East & North Africa (IDA & IBRD countries),2012,-379456.0
